,v14_v15
number of old unaccepted species names,675819
old unaccepted species names are now accepted,1097
Number of old Synonyms which are now accepted,819
Number of old Illegitimates which are now accepted,163
Number of old Unplaceds which are now accepted,85
Number of old Invalids which are now accepted,24
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
