,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,4185,4185,4185,4185,4180,4185,4185
unique,4185,1952,1952,1947,1925,2200,2152
top,Cleome nummularia DC.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca sativa Mill.,Eruca sativa Mill.
freq,1,62,62,62,62,46,46
