,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
count,314,314,314,314,309,314,314,309,314
unique,314,182,182,182,178,187,185,165,167
top,Eugenia doniana O.Berg,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
freq,1,22,22,22,22,21,21,22,23
