,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,1344041,1344041,1303147
unique,1344041,425279,355053
top,Behuria magdalenensis (Brade) R.Tav. & Baumgratz,Rosa canina L.,Rosa canina L.
freq,1,1081,1081
