,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
3233,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia J.F.Gmel.
3374,Crotalaria maritima var. linaria (Small) H.Senn,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia J.F.Gmel.
3730,Camissonia boothii var. villosa (S.Watson) Cronquist,Eremothera boothii subsp. alyssoides (Hook. & Arn.) W.L.Wagner & Hoch,Eremothera boothii subsp. alyssoides (Hook. & Arn.) W.L.Wagner & Hoch,Eremothera boothii var. alyssoides (Hook. & Arn.) Tiehm,Eremothera boothii (Douglas) W.L.Wagner & Hoch,Eremothera boothii var. villosa (S.Watson) Tiehm,Eremothera boothii (Douglas) W.L.Wagner & Hoch
4305,Mesembryanthemum lacunatum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk
4879,"Dactylorhiza purpurella var. maculosa (T.Stephenson) Kreutz, H.Dekker & L.Lewis",Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella var. purpurella,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó
4880,Dactylorhiza majalis var. maculosa (T.Stephenson) R.M.Bateman & Denholm,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella var. purpurella,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó
5291,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum L.
5292,Ornithogalum campestre (Savi) Prain,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum L.
5648,Dendrophthoe bicolor (Roxb.) Mart.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata var. falcata,Dendrophthoe falcata (L.f.) Ettingsh.
6062,Myrica pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
8715,Scirpus asper var. diffusus (Beetle) Beetle,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr"
8983,Piptadenia peregrina var. falcata (Benth.) Chodat & Hassl.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
8984,Anadenanthera peregrina var. falcata (Benth.) Altschul,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
8985,Anadenanthera falcata (Benth.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
9687,Coprosma grandifolia Hook.f.,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida J.R.Forst. & G.Forst.,Coprosma grandifolia Hook.f.,Coprosma grandifolia Hook.f.
9823,Rubus foliosus var. monticola (Boulay) Sudre,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus pallidus Weihe,Rubus pallidus Weihe
9873,Quercus × tlemcenensis (A.DC.) Villar,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9874,Quercus mirbeckii f. tlemcenensis (A.DC.) Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9875,Quercus faginea var. tlemcenensis (A.DC.) Maire,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9876,Quercus faginea subsp. tlemcenensis (A.DC.) Maire & Weiller ex Greuter & Burdet,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9877,Quercus broteroi subsp. tlemcenensis (A.DC.) F.M.Vázquez & Coombes,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
10557,Coffea arabica var. angustifolia (Roxb.) Miq. ex A.Froehner,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum timorense Blume,Pittosporum timorense Blume
10594,Pilostaxis carteri (Small) Small,Polygala balduini Nutt.,Polygala balduini Nutt.,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini var. carteri (Small) J.F.B.Pastore & J.R.Abbott,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott
10595,Polygala balduini var. carteri (Small) R.R.Sm. & D.B.Ward,Polygala balduini Nutt.,Polygala balduini Nutt.,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini var. carteri (Small) J.F.B.Pastore & J.R.Abbott,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott
12995,Ficus courtallensis (Miq.) Baill.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus hispida var. hispida,Ficus hispida L.f.
16761,Helichrysum italicum var. libanotis (Jord. & Fourr.) O.Bolòs & Vigo,Helichrysum italicum subsp. serotinum (DC.) P.Fourn.,Helichrysum italicum subsp. serotinum (DC.) P.Fourn.,Helichrysum serotinum (DC.) Boiss.,Helichrysum serotinum (DC.) Boiss.,Helichrysum serotinum subsp. serotinum,Helichrysum serotinum (DC.) Boiss.
16894,Morella pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
16895,Cerothamnus pumilus (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
17428,Hieracium lamprophyllum subsp. mendiolanum (Arv.-Touv. & Gaut.) Zahn,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum subsp. lamprophyllum,Hieracium lamprophyllum Scheele
17514,Pilosella flagellaris subsp. pertenuiglandula (Lengyel & Zahn) Soják,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris subsp. flagellaris,Pilosella flagellaris (Willd.) Arv.-Touv.
17641,Fagara setosa (Hemsl.) Engl.,Zanthoxylum simulans Hance,Zanthoxylum simulans Hance,Zanthoxylum simulans Hance,Zanthoxylum simulans Hance,Zanthoxylum simulans subsp. simulans,Zanthoxylum simulans Hance
17917,Rosa × involuta var. wilsonii (Borrer) Baker,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × andrzeiowskii Steven ex Besser,Rosa × andrzeiowskii Steven ex Besser
