,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author
count,1367244,1367244,1367244,1367007,1325909
unique,1367244,429025,429025,428115,357638
top,Elymus czimganicus (Drobow) Tzvelev,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina L.
freq,1,1103,1103,1103,1103
