,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,1369277,1369277,1328073
unique,1369277,429619,358649
top,Behuria magdalenensis (Brade) R.Tav. & Baumgratz,Rosa canina L.,Rosa canina L.
freq,1,1089,1089
