,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,2893,2893,2893,2893,2837,2893,2838
unique,2893,839,839,834,784,1012,865
top,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea subsp. caerulea,Molinia caerulea (L.) Moench
freq,1,87,87,87,87,87,87
