,taxon_name_w_authors,v10_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species
count,1329989,1329989,1329989,1329074,1288459
unique,1329989,420442,420442,415683,348736
top,Ozoroa obovata var. gomesiana (R.Fern. & A.Fern.) R.Fern. & A.Fern.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1135,1135,1135,1135
