,taxon_name_w_authors,v16_direct_accepted_name_w_author,v16_direct_accepted_species
count,1334854,1334854,1294143
unique,1334854,424205,354943
top,Scopelogena L.Bolus ex A.G.J.Herre,Rosa canina L.,Rosa canina
freq,1,1078,1078
