,v10_v16,Percentages
original_names,1359750,100.0
total_disagreements,17260,1.2693509836366978
species_disagreements,9345,0.6872586872586872
genus_disagreements,914,0.06721823864681008
unresolved_via_chaining_despite_a_direct_resolution,40,0.0029417172274315132
