,Genus,Num_names_for_genus_with_species_discrepancy,Total_names_for_genus,Percent
0,Rubus,197,14266,1.3809056497967194
1,Rosa,164,11566,1.4179491613349473
2,Crataegus,133,3000,4.433333333333334
3,Hieracium,117,18618,0.6284241057041573
4,Carex,104,9921,1.0482814232436246
5,Solanum,88,5932,1.4834794335805799
7,Festuca,78,3669,2.125919869174162
6,Grindelia,78,306,25.49019607843137
8,Polygonum,73,2400,3.0416666666666665
9,Achillea,71,883,8.040770101925254
11,Agropyron,70,1087,6.439742410303588
10,Potentilla,70,5268,1.3287775246772968
12,Taraxacum,64,3385,1.8906942392909896
13,Polygala,64,2579,2.481582008530438
14,Sulcorebutia,60,247,24.291497975708502
15,Quercus,59,4836,1.2200165425971878
16,Persicaria,58,610,9.508196721311476
17,Viola,54,4123,1.3097259277225322
19,Pilosella,54,1321,4.08781226343679
18,Panicum,54,3970,1.3602015113350125
21,Eruca,52,96,54.166666666666664
20,Capsicum,52,291,17.869415807560138
22,Ranunculus,45,5393,0.8344149823845726
23,Opuntia,44,1470,2.993197278911565
25,Euphorbia,42,5639,0.7448129100904416
24,Artemisia,42,2015,2.0843672456575684
26,Leea,39,200,19.5
27,Morus,38,301,12.624584717607974
29,Elymus,37,1060,3.490566037735849
28,Senecio,37,6123,0.6042789482279928
30,Erodium,36,775,4.645161290322581
31,Acacia,36,3578,1.0061486864169928
32,Asplenium,35,3405,1.0279001468428781
35,Silene,34,3444,0.9872241579558653
34,Weingartia,34,222,15.315315315315315
33,Biscutella,34,559,6.082289803220036
36,Hymenophyllum,34,809,4.202719406674907
39,Brachypodium,33,370,8.91891891891892
38,Calandrinia,33,348,9.482758620689655
37,Helianthemum,33,1459,2.2618231665524333
40,Celtis,32,449,7.12694877505568
41,Polystachya,32,503,6.361829025844931
42,Aloe,31,1516,2.044854881266491
43,Eucalyptus,30,1937,1.5487867836861124
44,Sedum,29,2050,1.4146341463414633
45,Polypodium,29,3698,0.7842076798269335
