,Genus,Num_names_for_genus_with_species_discrepancy,Total_names_for_genus,Percent
46,Utricularia,28,864,3.240740740740741
50,Avena,27,1052,2.5665399239543727
49,Pyrus,27,2537,1.064249113125739
47,Allium,27,2975,0.907563025210084
48,Trichomanes,27,908,2.973568281938326
53,Brassica,26,1131,2.2988505747126435
51,Cardamine,26,1420,1.8309859154929577
52,Apocynum,26,292,8.904109589041095
54,Pouzolzia,25,263,9.505703422053232
55,Oxalis,25,2150,1.1627906976744187
59,Phaseolus,25,1005,2.487562189054726
58,Nolana,25,155,16.129032258064516
56,Psychotria,25,3738,0.6688068485821295
57,Orchis,25,2185,1.1441647597254005
60,Aconitum,24,1896,1.2658227848101267
61,Passiflora,23,1298,1.7719568567026194
67,Mammillaria,23,1991,1.1551983927674536
63,Centaurea,23,3725,0.6174496644295302
65,Bidens,23,1029,2.2351797862001943
62,Elleanthus,23,168,13.69047619047619
68,Malus,23,696,3.3045977011494254
66,Andropogon,23,1833,1.254773595199127
64,Thymus,23,2114,1.0879848628192998
69,Croton,22,2858,0.7697690692792163
74,Betula,22,1089,2.0202020202020203
70,Vaccinium,22,1428,1.5406162464985995
73,Lampranthus,22,262,8.396946564885496
72,Mesembryanthemum,22,1385,1.5884476534296028
71,Poa,22,3396,0.6478209658421673
75,Cyathea,22,1446,1.5214384508990317
76,Spiraea,22,1253,1.7557861133280128
77,Piper,22,4734,0.46472327841149136
78,Stipa,21,1443,1.4553014553014554
79,Aglaia,21,541,3.8817005545286505
85,Blechnum,20,709,2.8208744710860367
81,Geranium,20,1857,1.0770059235325795
84,Digitaria,20,853,2.3446658851113718
82,Impatiens,20,1792,1.1160714285714286
83,Peperomia,20,3221,0.6209251785159888
80,Ficus,20,3898,0.513083632632119
90,Lonicera,19,1159,1.639344262295082
91,Gymnadenia,19,316,6.012658227848101
89,Ophrys,19,2352,0.8078231292517006
88,Salix,19,4597,0.41331303023711113
93,Pinus,19,1808,1.0508849557522124
87,Astragalus,19,8148,0.23318605792832597
92,Gnaphalium,19,1383,1.373825018076645
86,Begonia,19,3342,0.5685218432076601
97,Hibiscus,18,1530,1.1764705882352942
94,Tamarix,18,338,5.325443786982248
95,Aster,18,2848,0.6320224719101124
98,Dryopteris,18,3145,0.5723370429252782
96,Saxifraga,18,3228,0.5576208178438662
101,Dichanthelium,17,234,7.264957264957265
99,Erysimum,17,1126,1.5097690941385435
100,Pleurothallis,17,2307,0.7368877329865626
103,Pyrethrum,17,401,4.239401496259352
102,Ilex,17,1873,0.9076348104644955
104,Achyranthes,16,365,4.383561643835616
105,Pittosporum,16,613,2.6101141924959217
106,Ischaemum,16,351,4.5584045584045585
107,Vernonia,16,2460,0.6504065040650406
108,Thalictrum,16,1320,1.2121212121212122
112,Carduus,15,1114,1.3464991023339319
111,Luffa,15,80,18.75
116,Orobanche,15,1197,1.2531328320802004
115,Dendrobium,15,3155,0.4754358161648177
109,Lupinus,15,1955,0.7672634271099744
110,Agrostis,15,2024,0.741106719367589
113,Polystichum,15,1152,1.3020833333333333
114,Dianthus,15,1988,0.7545271629778671
125,Aspidium,14,1827,0.7662835249042146
120,Anemone,14,1167,1.1996572407883461
121,Amaranthus,14,664,2.108433734939759
117,Athyrium,14,1090,1.2844036697247707
119,Veronica,14,2359,0.5934718100890207
123,Prunus,14,3717,0.3766478342749529
122,Eria,14,853,1.64126611957796
118,Eupatorium,14,2579,0.5428460643660333
126,Chrysanthemum,14,717,1.9525801952580195
124,Erigeron,14,1846,0.7583965330444203
128,Ophioglossum,13,250,5.2
130,Thelypteris,13,1801,0.7218212104386452
132,Viburnum,13,843,1.5421115065243178
135,Cleome,13,603,2.155887230514096
136,Lolium,13,359,3.6211699164345403
133,Euphrasia,13,1020,1.2745098039215685
134,Puccinellia,13,390,3.3333333333333335
131,Eugenia,13,3741,0.3475006682705159
129,Albizia,13,426,3.051643192488263
127,Phlox,13,589,2.2071307300509337
139,Alchemilla,12,2078,0.5774783445620789
137,Batrachium,12,178,6.741573033707865
138,Banisteria,12,375,3.2
144,Gagea,12,687,1.7467248908296944
141,Verbena,12,865,1.3872832369942196
140,Commelina,12,741,1.6194331983805668
146,Carissa,12,119,10.084033613445378
142,Valeriana,12,1181,1.0160880609652836
143,Lomaria,12,315,3.8095238095238093
145,Vicia,12,1504,0.7978723404255319
155,Diospyros,11,1602,0.686641697877653
154,Cyphia,11,179,6.145251396648045
147,Schizachyrium,11,195,5.641025641025641
149,Iberis,11,401,2.743142144638404
148,Pyrrhocactus,11,121,9.090909090909092
152,Aira,11,547,2.010968921389397
151,Vitex,11,723,1.5214384508990317
169,Alyxia,11,296,3.7162162162162162
150,Echinochloa,11,250,4.4
162,Cyperus,11,4091,0.2688829137130286
161,Arabis,11,1272,0.8647798742138365
167,Roegneria,11,269,4.089219330855019
168,Acalypha,11,1367,0.8046817849305048
165,Eryngium,11,679,1.6200294550810015
164,Hepatica,11,71,15.492957746478874
163,Momisia,11,27,40.74074074074074
166,Bromus,11,1958,0.5617977528089888
157,Osmunda,11,195,5.641025641025641
156,Evelyna,11,54,20.37037037037037
159,Trautvetteria,11,24,45.833333333333336
158,Santolina,11,181,6.077348066298343
160,Atriplex,11,1144,0.9615384615384616
153,Triticum,11,1396,0.7879656160458453
170,Photinia,10,263,3.802281368821293
171,Antirrhinum,10,621,1.6103059581320451
176,Armeria,10,880,1.1363636363636365
177,Werneria,10,131,7.633587786259542
175,Eriocaulon,10,1174,0.8517887563884157
174,Parsonsia,10,262,3.816793893129771
179,Notocactus,10,403,2.4813895781637716
180,Julocroton,10,119,8.403361344537815
173,Coelogyne,10,865,1.1560693641618498
172,Delphinium,10,1633,0.612369871402327
178,Alyssum,10,1137,0.8795074758135444
192,Marsdenia,9,488,1.8442622950819672
184,Malaxis,9,715,1.2587412587412588
185,Isoetes,9,480,1.875
181,Uragoga,9,1041,0.8645533141210374
183,Iris,9,1650,0.5454545454545454
190,Galactia,9,351,2.5641025641025643
191,Pellaea,9,285,3.1578947368421053
182,Consolea,9,27,33.333333333333336
198,Nepenthes,9,397,2.2670025188916876
194,Oxytropis,9,1284,0.7009345794392523
195,Campanula,9,3232,0.2784653465346535
199,Anemia,9,309,2.912621359223301
196,Neoporteria,9,271,3.321033210332103
187,Coreopsis,9,445,2.0224719101123596
186,Danaea,9,88,10.227272727272727
197,Bulbophyllum,9,3385,0.2658788774002954
193,Mimosa,9,2117,0.42512990080302315
188,Scirpus,9,1863,0.4830917874396135
189,Erophila,9,195,4.615384615384615
203,Tephrocactus,8,198,4.040404040404041
202,Physalis,8,459,1.7429193899782136
201,Haplopappus,8,577,1.3864818024263432
200,Herbertia,8,29,27.586206896551722
218,Vigna,8,476,1.680672268907563
219,Grammitis,8,940,0.851063829787234
224,Eleocharis,8,958,0.8350730688935282
208,Arenaria,8,1669,0.4793289394847214
222,Clematis,8,1999,0.400200100050025
223,Paepalanthus,8,958,0.8350730688935282
220,Adonis,8,241,3.319502074688797
221,Tanacetum,8,521,1.5355086372360844
230,Luisia,8,93,8.602150537634408
227,Psidium,8,501,1.596806387225549
228,Saussurea,8,1096,0.7299270072992701
229,Hedyotis,8,1079,0.7414272474513438
232,Lippia,8,598,1.3377926421404682
231,Malvastrum,8,312,2.5641025641025643
225,Monardella,8,191,4.18848167539267
226,Bupleurum,8,1071,0.7469654528478058
214,Fagraea,8,224,3.5714285714285716
235,Glandularia,8,136,5.882352941176471
204,Gymnocalycium,8,536,1.492537313432836
205,Carpinus,8,240,3.3333333333333335
206,Echinocactus,8,995,0.8040201005025126
207,Leymus,8,153,5.228758169934641
209,Inga,8,918,0.8714596949891068
210,Rhinanthus,8,358,2.2346368715083798
216,Nigritella,8,99,8.080808080808081
211,Mespilus,8,438,1.82648401826484
212,Draba,8,1848,0.4329004329004329
213,Globularia,8,120,6.666666666666667
217,Selaginella,8,1770,0.4519774011299435
215,Pteris,8,1334,0.5997001499250375
233,Papaver,8,1077,0.7428040854224698
234,Corymbia,8,148,5.405405405405405
252,Alsophila,7,900,0.7777777777777778
253,Adiantum,7,974,0.7186858316221766
254,Hemiandra,7,25,28.0
255,Cyanotis,7,148,4.72972972972973
257,Baptisia,7,100,7.0
258,Vanda,7,235,2.978723404255319
259,Yucca,7,499,1.402805611222445
260,Doryopteris,7,142,4.929577464788732
261,Heliotropium,7,990,0.7070707070707071
262,Parinari,7,188,3.723404255319149
263,Ulmus,7,590,1.1864406779661016
264,Minuartia,7,602,1.1627906976744187
265,Cytisus,7,913,0.7667031763417306
266,Scabiosa,7,896,0.78125
267,Rebutia,7,387,1.8087855297157622
268,Callista,7,399,1.7543859649122806
269,Verbascum,7,1615,0.43343653250773995
270,Cordia,7,870,0.8045977011494253
271,Callitriche,7,414,1.6908212560386473
240,Cyanococcus,7,23,30.434782608695652
273,Arachniodes,7,243,2.880658436213992
274,Stegnogramma,7,48,14.583333333333334
275,Cephalomanes,7,47,14.893617021276595
276,Stoebe,7,87,8.045977011494253
246,Kalanchoe,7,486,1.440329218106996
247,Justicia,7,2217,0.31574199368516015
248,Pseudocyclosorus,7,59,11.864406779661017
239,Gentiana,7,2437,0.2872384078785392
250,Lycianthes,7,334,2.095808383233533
251,Pyrrocoma,7,110,6.363636363636363
244,Koeleria,7,910,0.7692307692307693
237,Leptogramma,7,66,10.606060606060606
238,Schivereckia,7,17,41.1764705882353
272,Astrocaryum,7,114,6.140350877192983
256,Hydrangea,7,502,1.3944223107569722
236,Oncidium,7,1459,0.47978067169294036
243,Cynanchum,7,1040,0.6730769230769231
241,Scrophularia,7,913,0.7667031763417306
245,Evolvulus,7,378,1.8518518518518519
242,Stylosanthes,7,128,5.46875
249,Polemonium,7,306,2.287581699346405
285,Chloranthus,6,64,9.375
286,Eritrichium,6,362,1.6574585635359116
279,Sorbus,6,1304,0.4601226993865031
278,Hordeum,6,562,1.0676156583629892
277,Distichlis,6,58,10.344827586206897
284,Cotoneaster,6,804,0.746268656716418
283,Serapias,6,400,1.5
282,Matricaria,6,281,2.1352313167259784
281,Nephrolepis,6,202,2.9702970297029703
280,Didymochlaena,6,27,22.22222222222222
287,Tamus,6,21,28.571428571428573
303,Aristolochia,6,1069,0.5612722170252572
290,Memecylon,6,712,0.8426966292134831
289,Madronella,6,48,12.5
292,Urginea,6,170,3.5294117647058822
293,Linaria,6,1356,0.4424778761061947
294,Tillandsia,6,1729,0.3470213996529786
291,Vera-duthiea,6,12,50.0
296,Microstylis,6,464,1.293103448275862
297,Kuhnia,6,63,9.523809523809524
298,Leucanthemum,6,309,1.941747572815534
299,Plantago,6,1880,0.3191489361702128
300,Stackhousia,6,78,7.6923076923076925
301,Ulex,6,209,2.8708133971291865
302,Citrus,6,714,0.8403361344537815
295,Lotus,6,913,0.6571741511500547
288,Cassytha,6,95,6.315789473684211
321,Rostellularia,6,95,6.315789473684211
322,Allocarya,6,164,3.658536585365854
304,Lycopodium,6,1171,0.5123825789923142
308,Notholaena,6,253,2.3715415019762847
309,Odontites,6,211,2.843601895734597
310,Alectorolophus,6,142,4.225352112676056
311,Eriogonum,6,1422,0.4219409282700422
312,Crassula,6,969,0.6191950464396285
313,Potamogeton,6,1418,0.4231311706629055
314,Sagina,6,294,2.0408163265306123
315,Horridocactus,6,37,16.216216216216218
316,Mangifera,6,167,3.592814371257485
317,Chilita,6,113,5.3097345132743365
318,Micromeria,6,427,1.405152224824356
319,Melica,6,624,0.9615384615384616
320,Rhodiola,6,219,2.73972602739726
305,Juncus,6,2170,0.2764976958525346
306,Crepidomanes,6,119,5.042016806722689
307,Cactus,6,673,0.8915304606240714
324,Angelica,5,420,1.1904761904761905
325,Absinthium,5,59,8.474576271186441
326,Crepis,5,1032,0.4844961240310077
323,Urostigma,5,320,1.5625
328,Portulaca,5,539,0.9276437847866419
329,Lilium,5,822,0.6082725060827251
330,Trillium,5,285,1.7543859649122806
331,Pithecellobium,5,543,0.9208103130755064
332,Glyceria,5,383,1.3054830287206267
333,Androsace,5,615,0.8130081300813008
334,Ruschia,5,447,1.1185682326621924
327,Hedypnois,5,72,6.944444444444445
351,Varronia,5,267,1.8726591760299625
350,Cerastium,5,1600,0.3125
349,Galium,5,3101,0.16123831022250887
348,Fagus,5,219,2.2831050228310503
347,Ledum,5,59,8.474576271186441
346,Ipomoea,5,2724,0.18355359765051396
345,Phalaenopsis,5,385,1.2987012987012987
344,Epidendrum,5,3089,0.16186468112657817
343,Fimbristylis,5,1077,0.46425255338904364
342,Eriophorum,5,212,2.358490566037736
341,Sarcanthus,5,204,2.450980392156863
340,Cattleya,5,874,0.5720823798627003
339,Salsola,5,702,0.7122507122507122
338,Gilia,5,722,0.6925207756232687
337,Ternstroemia,5,312,1.6025641025641026
335,Ardisia,5,1608,0.31094527363184077
336,Rauvolfia,5,239,2.092050209205021
353,Coccoloba,5,450,1.1111111111111112
354,Malacothamnus,5,41,12.195121951219512
355,Amanoa,5,54,9.25925925925926
356,Attalea,5,127,3.937007874015748
357,Baissea,5,58,8.620689655172415
358,Acorus,5,53,9.433962264150944
359,Angraecum,5,609,0.8210180623973727
360,Corydalis,5,1346,0.37147102526002973
361,Paronychia,5,471,1.0615711252653928
362,Phacelia,5,699,0.7153075822603719
363,Aspidosperma,5,219,2.2831050228310503
364,Desmodium,5,979,0.5107252298263534
365,Parodia,5,472,1.0593220338983051
366,Cheilanthes,5,690,0.7246376811594203
367,Eurya,5,438,1.1415525114155252
383,Spiranthes,5,497,1.0060362173038229
382,Hibbertia,5,567,0.8818342151675485
381,Ctenitis,5,384,1.3020833333333333
380,Nephrodium,5,1230,0.4065040650406504
379,Lastrea,5,688,0.7267441860465116
378,Maba,5,193,2.5906735751295336
377,Melocactus,5,439,1.1389521640091116
376,Davallia,5,462,1.0822510822510822
375,Vittaria,5,194,2.577319587628866
374,Hypolepis,5,206,2.4271844660194173
373,Aristida,5,1058,0.4725897920604915
372,Diplazium,5,1044,0.4789272030651341
371,Teucrium,5,1213,0.41220115416323166
370,Acrostichum,5,900,0.5555555555555556
369,Struthiopteris,5,109,4.587155963302752
352,Schinus,5,154,3.2467532467532467
392,Scorzonera,5,582,0.8591065292096219
393,Tephroseris,5,168,2.9761904761904763
394,Marlierea,5,141,3.5460992907801416
395,Oldenlandia,5,741,0.6747638326585695
388,Eulalia,5,111,4.504504504504505
389,Eragrostis,5,1379,0.36258158085569253
390,Hyparrhenia,5,173,2.8901734104046244
391,Cacalia,5,932,0.5364806866952789
387,Anoectochilus,5,167,2.9940119760479043
386,Lonchocarpus,5,390,1.2820512820512822
385,Dorycnium,5,126,3.9682539682539684
396,Solidago,5,1009,0.49554013875123887
397,Paspalum,5,1378,0.36284470246734396
398,Brickellia,5,275,1.8181818181818181
368,Geodorum,5,39,12.820512820512821
384,Rhodospatha,5,55,9.090909090909092
512,Oligosporus,4,103,3.883495145631068
513,Phalaris,4,250,1.6
514,Microlicia,4,435,0.9195402298850575
515,Calea,4,340,1.1764705882352942
420,Coprosma,4,263,1.520912547528517
421,Vanilla,4,235,1.702127659574468
422,Iguanura,4,61,6.557377049180328
423,Tetranthera,4,276,1.4492753623188406
424,Baccharis,4,1292,0.30959752321981426
425,Acrodiclidium,4,65,6.153846153846154
426,Pourthiaea,4,79,5.063291139240507
427,Pogostemon,4,156,2.5641025641025643
428,Cleisostoma,4,254,1.5748031496062993
429,Linum,4,1035,0.3864734299516908
430,Vincetoxicum,4,679,0.5891016200294551
431,Anagallis,4,210,1.9047619047619047
400,Argyrochosma,4,24,16.666666666666668
401,Ptilagrostis,4,33,12.121212121212121
402,Thapsia,4,77,5.194805194805195
403,Coptis,4,54,7.407407407407407
436,Mecodium,4,131,3.053435114503817
437,Cystopteris,4,193,2.0725388601036268
438,Conyza,4,802,0.49875311720698257
439,Onosma,4,558,0.7168458781362007
440,Popowia,4,161,2.484472049689441
441,Alsine,4,631,0.6339144215530903
442,Hydnora,4,27,14.814814814814815
443,Alona,4,34,11.764705882352942
444,Oleandra,4,102,3.9215686274509802
445,Garcinia,4,665,0.6015037593984962
446,Vaseyanthus,4,9,44.44444444444444
447,Mentha,4,2779,0.1439366678661389
416,Cirsium,4,1923,0.2080083203328133
417,Calliandra,4,493,0.8113590263691683
418,Struthiola,4,128,3.125
419,Atropis,4,156,2.5641025641025643
452,Lobelia,4,1769,0.22611644997173544
453,Dendranthema,4,112,3.5714285714285716
454,Asclepias,4,824,0.4854368932038835
455,Didymoglossum,4,115,3.4782608695652173
456,Dictyocline,4,9,44.44444444444444
457,Hemionitis,4,570,0.7017543859649122
458,Tolumnia,4,50,8.0
459,Gymnogramma,4,419,0.954653937947494
460,Eriocephalus,4,75,5.333333333333333
461,Lobivia,4,782,0.5115089514066496
462,Symphyotrichum,4,232,1.7241379310344827
463,Rhynchospora,4,1117,0.35810205908683973
432,Maesa,4,344,1.1627906976744187
433,Melampyrum,4,306,1.3071895424836601
434,Dicranopteris,4,138,2.898550724637681
435,Lindsaea,4,583,0.6861063464837049
468,Epilobium,4,1419,0.28188865398167723
469,Erica,4,2640,0.15151515151515152
470,Ferulago,4,109,3.669724770642202
471,Ocotea,4,885,0.4519774011299435
472,Fumana,4,140,2.857142857142857
473,Cassia,4,1726,0.23174971031286212
474,Cleistocactus,4,162,2.4691358024691357
475,Collaea,4,50,8.0
476,Pilosocereus,4,195,2.051282051282051
477,Fuchsia,4,334,1.1976047904191616
478,Galarhoeus,4,179,2.2346368715083798
479,Chenopodium,4,1214,0.32948929159802304
448,Satureja,4,755,0.5298013245033113
449,Musa,4,467,0.8565310492505354
450,Habenaria,4,2043,0.19579050416054822
451,Dendrorkis,4,64,6.25
484,Philadelphus,4,353,1.13314447592068
485,Melandrium,4,286,1.3986013986013985
486,Silvaea,4,12,33.333333333333336
487,Echinopsis,4,595,0.6722689075630253
488,Cistus,4,750,0.5333333333333333
489,Feuilleea,4,420,0.9523809523809523
490,Cereus,4,1308,0.3058103975535168
491,Cryptantha,4,425,0.9411764705882353
492,Brexia,4,26,15.384615384615385
493,Primula,4,2227,0.1796138302649304
494,Echinocereus,4,564,0.7092198581560284
495,Elaeocarpus,4,945,0.42328042328042326
464,Peliosanthes,4,106,3.7735849056603774
465,Plagiobothrys,4,169,2.366863905325444
466,Pediocactus,4,125,3.2
467,Castela,4,38,10.526315789473685
500,Bunium,4,236,1.694915254237288
501,Specklinia,4,538,0.7434944237918215
502,Lepidium,4,977,0.4094165813715456
503,Crotalaria,4,1857,0.2154011847065159
504,Claytonia,4,371,1.0781671159029649
505,Woodsia,4,192,2.0833333333333335
506,Botrychium,4,316,1.2658227848101267
507,Xylobium,4,78,5.128205128205129
508,Alophia,4,26,15.384615384615385
509,Typha,4,211,1.8957345971563981
510,Asparagus,4,575,0.6956521739130435
511,Dracaena,4,620,0.6451612903225806
480,Memorialis,4,33,12.121212121212121
481,Tithymalus,4,753,0.5312084993359893
482,Cistanche,4,60,6.666666666666667
483,Stellaria,4,967,0.4136504653567735
516,Elaeoselinum,4,31,12.903225806451612
517,Leontodon,4,455,0.8791208791208791
518,Cynosurus,4,149,2.684563758389262
496,Diuris,4,158,2.5316455696202533
497,Thaspium,4,35,11.428571428571429
498,Metastelma,4,214,1.8691588785046729
499,Elatine,4,153,2.6143790849673203
404,Sonchus,4,533,0.7504690431519699
405,Antitaxis,4,8,50.0
406,Ottonia,4,111,3.6036036036036037
407,Leucojum,4,50,8.0
408,Caprifolium,4,177,2.2598870056497176
409,Marattia,4,99,4.040404040404041
410,Dicksonia,4,209,1.9138755980861244
411,Lithospermum,4,414,0.966183574879227
412,Ligusticum,4,371,1.0781671159029649
413,Narcissus,4,1118,0.35778175313059035
414,Knautia,4,414,0.966183574879227
415,Pinalia,4,323,1.238390092879257
399,Sida,4,1409,0.28388928317955997
672,Sporobolus,3,625,0.48
656,Spigelia,3,177,1.694915254237288
673,Bredemeyera,3,74,4.054054054054054
643,Seriphium,3,54,5.555555555555555
642,Polyalthia,3,365,0.821917808219178
641,Indigofera,3,1794,0.16722408026755853
640,Syzygium,3,1644,0.18248175182481752
671,Sempervivum,3,640,0.46875
670,Hyrtanandra,3,15,20.0
669,Chrysocoma,3,171,1.7543859649122806
668,Olearia,3,351,0.8547008547008547
667,Pycnarrhena,3,29,10.344827586206897
666,Prosopis,3,166,1.8072289156626506
665,Stylidium,3,467,0.6423982869379015
664,Nothoscordum,3,159,1.8867924528301887
663,Bambusa,3,574,0.5226480836236934
662,Meringium,3,62,4.838709677419355
661,Onosmodium,3,40,7.5
660,Peucedanum,3,832,0.3605769230769231
527,Sapindus,3,149,2.0134228187919465
526,Cupressus,3,345,0.8695652173913043
525,Deyeuxia,3,510,0.5882352941176471
524,Bellis,3,98,3.061224489795918
523,Brachyscome,3,219,1.36986301369863
522,Chaetanthera,3,145,2.0689655172413794
521,Tylloma,3,23,13.043478260869565
520,Inula,3,543,0.5524861878453039
519,Uniola,3,48,6.25
543,Calanthe,3,645,0.46511627906976744
542,Polygonella,3,30,10.0
541,Sterculia,3,496,0.6048387096774194
540,Gladiolus,3,983,0.3051881993896236
539,Cupaniopsis,3,110,2.727272727272727
538,Racosperma,3,1118,0.26833631484794274
537,Trifurcia,3,10,30.0
536,Tritonia,3,144,2.0833333333333335
535,Pratia,3,77,3.896103896103896
534,Disporum,3,122,2.459016393442623
533,Vriesea,3,660,0.45454545454545453
532,Drimia,3,201,1.492537313432836
531,Hedysarum,3,1053,0.2849002849002849
530,Phleum,3,252,1.1904761904761905
529,Dipladenia,3,119,2.5210084033613445
528,Helichrysum,3,1529,0.1962066710268149
559,Caragana,3,298,1.0067114093959733
558,Hydrocotyle,3,586,0.5119453924914675
557,Sisymbrium,3,933,0.3215434083601286
556,Acer,3,2230,0.13452914798206278
555,Rochefortia,3,27,11.11111111111111
554,Cynoglossum,3,566,0.5300353356890459
553,Dendrophthora,3,191,1.5706806282722514
552,Trichipteris,3,98,3.061224489795918
551,Hypericum,3,2224,0.13489208633093525
550,Holboellia,3,38,7.894736842105263
549,Geum,3,514,0.5836575875486382
548,Fragaria,3,492,0.6097560975609756
547,Pygeum,3,184,1.6304347826086956
546,Angiopteris,3,226,1.3274336283185841
545,Elaeagia,3,37,8.108108108108109
544,Bletia,3,218,1.3761467889908257
575,Sphaeralcea,3,260,1.1538461538461537
574,Malveopsis,3,89,3.3707865168539324
573,Celsia,3,176,1.7045454545454546
572,Neomammillaria,3,320,0.9375
571,Ebnerella,3,83,3.6144578313253013
570,Combretum,3,911,0.32930845225027444
569,Calopyxis,3,25,12.0
568,Apostasia,3,25,12.0
567,Scheelea,3,63,4.761904761904762
566,Aerangis,3,125,2.4
565,Anthurium,3,1859,0.16137708445400753
564,Anthemis,3,888,0.33783783783783783
563,Torenia,3,185,1.6216216216216217
562,Cupania,3,266,1.1278195488721805
561,Ruellia,3,1155,0.2597402597402597
560,Calyptridium,3,23,13.043478260869565
591,Fagara,3,464,0.646551724137931
590,Spergularia,3,383,0.783289817232376
589,Lysimachia,3,698,0.4297994269340974
588,Philippiamra,3,11,27.272727272727273
587,Cieca,3,66,4.545454545454546
586,Zingiber,3,328,0.9146341463414634
585,Gleichenia,3,292,1.0273972602739727
584,Cudrania,3,25,12.0
583,Pedicularis,3,1700,0.17647058823529413
582,Barclaya,3,9,33.333333333333336
581,Sinapis,3,220,1.3636363636363635
580,Dioclea,3,106,2.830188679245283
579,Navarretia,3,242,1.2396694214876034
578,Limonium,3,1080,0.2777777777777778
577,Rhamnus,3,1027,0.2921129503407984
576,Epacris,3,221,1.3574660633484164
607,Deparia,3,161,1.8633540372670807
606,Tripleurospermum,3,87,3.4482758620689653
605,Laserpitium,3,231,1.2987012987012987
604,Leptospermum,3,302,0.9933774834437086
603,Liparis,3,816,0.36764705882352944
602,Stelis,3,1737,0.17271157167530224
601,Stenorrhynchos,3,146,2.0547945205479454
600,Philodendron,3,882,0.3401360544217687
599,Danais,3,70,4.285714285714286
598,Campylospermum,3,134,2.2388059701492535
597,Lecanthus,3,18,16.666666666666668
596,Myrica,3,210,1.4285714285714286
595,Nuphar,3,112,2.6785714285714284
594,Fissistigma,3,106,2.830188679245283
593,Gentianella,3,562,0.5338078291814946
592,Encyclia,3,481,0.6237006237006237
623,Filipendula,3,119,2.5210084033613445
622,Seriola,3,40,7.5
621,Berula,3,27,11.11111111111111
620,Chiropetalum,3,41,7.317073170731708
619,Morinda,3,269,1.1152416356877324
618,Cladium,3,179,1.675977653631285
617,Juniperus,3,890,0.33707865168539325
616,Aruncus,3,69,4.3478260869565215
615,Anacampseros,3,202,1.4851485148514851
614,Vandenboschia,3,68,4.411764705882353
613,Hermannia,3,423,0.7092198581560284
612,Holosteum,3,53,5.660377358490566
611,Echeveria,3,502,0.5976095617529881
610,Litsea,3,860,0.3488372093023256
609,Cyclosorus,3,657,0.45662100456621
608,Bolbitis,3,188,1.5957446808510638
639,Tabernaemontana,3,480,0.625
638,Gabunia,3,16,18.75
637,Salvia,3,2752,0.10901162790697674
636,Stachys,3,1298,0.23112480739599384
635,Arundinella,3,201,1.492537313432836
634,Asarum,3,317,0.9463722397476341
633,Cheirostylis,3,109,2.7522935779816513
632,Malapoenna,3,169,1.7751479289940828
631,Ononis,3,992,0.3024193548387097
630,Acetosella,3,381,0.7874015748031497
629,Statice,3,847,0.3541912632821724
628,Trichilia,3,516,0.5813953488372093
627,Berberis,3,1548,0.1937984496124031
626,Bergeranthus,3,27,11.11111111111111
625,Phegopteris,3,448,0.6696428571428571
624,Populus,3,791,0.37926675094816686
655,Globba,3,266,1.1278195488721805
654,Pulsatilla,3,382,0.7853403141361257
653,Karwinskia,3,29,10.344827586206897
652,Nasturtium,3,457,0.6564551422319475
651,Phippsia,3,65,4.615384615384615
650,Aquilegia,3,797,0.37641154328732745
649,Turritis,3,94,3.1914893617021276
648,Aspidistra,3,254,1.1811023622047243
