,v13_v16
number of new accepted species names,367479
number of old accepted species names,361633
new accepted species names which were previously published,357254
number of new species names,1046052
number of old species names,1034031
new species names not in old,20625
species names have disappearedbut this could be due to orthographic changes with authorship,8604
