,v12_v16
number of new accepted species names,367479
number of old accepted species names,358923
new accepted species names which were previously published,352610
number of new species names,1046052
number of old species names,1028366
new species names not in old,29393
species names have disappearedbut this could be due to orthographic changes with authorship,11707
