,v11_v15
number of new accepted species names,364351
number of old accepted species names,358191
new accepted species names which were previously published,351933
number of new species names,1040026
number of old species names,1026625
new species names not in old,26973
species names have disappearedbut this could be due to orthographic changes with authorship,13572
