,v11_v16
number of old accepted species names,358191
old accepted species names are no longer accepted,8960
Number which are now Synonym of which (homotypic)/(heterotypic),8361/5194/3168
Number which are now Unplaced of which (homotypic)/(heterotypic),276/0/276
Number which are now Illegitimate of which (homotypic)/(heterotypic),267/125/142
Number which are now Orthographic of which (homotypic)/(heterotypic),4/0/4
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),51/2/49
