,v12_v15
number of old unaccepted species names,669726
old unaccepted species names are now accepted,3527
Number of old Synonyms which are now accepted,2973
Number of old Unplaceds which are now accepted,344
Number of old Illegitimates which are now accepted,180
Number of old Invalids which are now accepted,26
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
