,v14_v16
number of old unaccepted species names,675819
old unaccepted species names are now accepted,1617
Number of old Synonyms which are now accepted,1287
Number of old Illegitimates which are now accepted,163
Number of old Invalids which are now accepted,30
Number of old Unplaceds which are now accepted,131
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
