,v12_v15
number of old accepted species names,358923
old accepted species names are no longer accepted,5974
Number which are now Synonym of which (homotypic)/(heterotypic),5434/3356/2079
Number which are now Unplaced of which (homotypic)/(heterotypic),265/0/265
Number which are now Invalid of which (homotypic)/(heterotypic),36/1/35
Number which are now Illegitimate of which (homotypic)/(heterotypic),233/100/133
Number which are now Orthographic of which (homotypic)/(heterotypic),3/0/3
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
