,v13_v15
number of old accepted species names,361633
old accepted species names are no longer accepted,3979
Number which are now Synonym of which (homotypic)/(heterotypic),3556/2077/1480
Number which are now Unplaced of which (homotypic)/(heterotypic),189/0/189
Number which are now Invalid of which (homotypic)/(heterotypic),28/1/27
Number which are now Illegitimate of which (homotypic)/(heterotypic),198/78/120
Number which are now Orthographic of which (homotypic)/(heterotypic),3/0/3
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
