,taxon_name_w_authors,accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_direct_accepted_name_w_author
172850,Tricuspis elongata (Buckley) A.Heller,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis elongata (Buckley) Wipff & Weakley
172851,Sieglingia elongata (Buckley) Nash,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis mutica (Torr.) P.M.Peterson,Tridentopsis elongata (Buckley) Wipff & Weakley
173004,Paepalanthus saxicola var. pilosus Moldenke,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Paepalanthus amphibius Trovó
173339,Festuca ovina subvar. firmula Hack.,Festuca guestfalica subsp. guestfalica,Festuca guestfalica subsp. guestfalica,Festuca guestfalica Boenn. ex Rchb.,Festuca ophioliticola Kerguélen
173340,Festuca ophioliticola subsp. calaminaria Auquier,Festuca guestfalica subsp. guestfalica,Festuca guestfalica subsp. guestfalica,Festuca guestfalica Boenn. ex Rchb.,Festuca ophioliticola Kerguélen
173341,Festuca aquisgranensis Patzke & G.Br.,Festuca guestfalica subsp. guestfalica,Festuca guestfalica subsp. guestfalica,Festuca guestfalica Boenn. ex Rchb.,Festuca ophioliticola Kerguélen
173348,Carex caucasica subsp. perfusca (V.I.Krecz.) T.Koyama,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex caucasica subsp. caucasica
173350,Carex perfusca V.I.Krecz.,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex caucasica subsp. caucasica
173353,Carex atrata subsp. perfusca (V.I.Krecz.) T.Koyama,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex aterrima subsp. aterrima,Carex caucasica subsp. caucasica
173827,Oldenlandia serpyllifolia Cordem.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. goreensis
173840,Oldenlandia goreensis var. erecta DC.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. goreensis
173875,Oldenlandia verticillata var. trichocarpa Bremek.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. goreensis
173876,Oldenlandia anagallis Bremek.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. goreensis
173878,Oldenlandia bullockii Bremek.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. goreensis
173880,Oldenlandia goreensis var. trichocaula Bremek.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis (DC.) Neupane & N.Wikstr.,Edrastima goreensis var. trichocaula (Bremek.) Y.D.Zhou
174621,Dactylorhiza × dinglensis nothosubsp. robertsii Horsman,Dactylorhiza × formosa nothovar. robertsii (Horsman) Oddone,Dactylorhiza × formosa nothovar. robertsii (Horsman) Oddone,,
177194,Marsdenia cuneata L.O.Williams,Marsdenia mayana Lundell,Marsdenia mayana Lundell,Ruehssia mayana (Lundell) L.O.Alvarado,Ruehssia cuneata (L.O.Williams) Morillo & Mora Méndez
178894,Rhodostegiella (Pobed.) C.Y.Wu & D.Z.Li,Vincetoxicum Wolf,Vincetoxicum Wolf,Vincetoxicum Wolf,Cynanchum L.
180096,Hypericum perforatum f. floribundum Sennen,Hypericum perforatum L.,Hypericum perforatum L.,Hypericum perforatum L.,Hypericum perforatum subsp. perforatum
180304,Hypericum tetrapterum var. anagallidifolium Boiss.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum var. tetrapterum
180308,Hypericum undulatum var. rotundifolium (Willk.) Pau,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum var. tetrapterum
180311,Hypericum quadrangulum var. neapolitanum (Ten.) Ten.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum var. tetrapterum
180312,Hypericum acutum subvar. humile Rouy & Foucaud,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum Fr.,Hypericum tetrapterum var. tetrapterum
180489,Hypericum eugeniifolium Willd. ex Spreng.,Vismia guianensis (Aubl.) Pers.,Vismia guianensis (Aubl.) Pers.,Vismia guianensis (Aubl.) Pers.,Vismia cayennensis (Jacq.) Pers.
180694,Calpidisca standleyae Barnhart,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,
180697,Utricularia kaieteurensis Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180698,Utricularia lindmanii Sylvén,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia lindmanii Sylvén
180699,Utricularia genliseoides Benj.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180700,Utricularia hirtella A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180701,Utricularia adenantha Standl.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180705,Utricularia bicolor A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia bicolor A.St.-Hil. & Girard
180706,Utricularia bolivarana Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180707,Utricularia damazioi Beauverd,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia damazioi Beauverd
180708,Utricularia dawsonii Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia damazioi Beauverd
180710,Utricularia velascoensis Kuntze,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia velascoensis Kuntze
180713,Utricularia roraimensis N.E.Br.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia roraimensis N.E.Br.
180714,Utricularia spatulata Splitg. ex de Vriese,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
180717,Utricularia tepuiana Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia roraimensis N.E.Br.
180931,Utricularia vulgaris var. japonica (Makino) Tamura,Utricularia macrorhiza Leconte,Utricularia macrorhiza Leconte,Utricularia macrorhiza Leconte,Utricularia × japonica Makino
180943,Utricularia minor var. multispinosa Miki,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia multispinosa (Miki) Miki
180950,Utricularia multispinosa (Miki) Miki,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia multispinosa (Miki) Miki
181198,Paeonia corallina f. leiocarpa (Coss.) Knoche,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,Paeonia corsica Sieber ex Tausch
182434,Scirpus subasper var. diffusus Beetle,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
182435,Scirpus glaucus Nees & Meyen ex Kunth,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
182436,Scirpus leptopus Boeckeler,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
182437,Scirpus asper var. diffusus (Beetle) Beetle,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
182438,Scirpus asper var. polystachyus C.B.Clarke,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
182795,Anoectochilus tonkinensis Gagnep.,Odontochilus brevistylis subsp. brevistylis,Odontochilus brevistylis subsp. brevistylis,Odontochilus brevistylis subsp. brevistylis,Odontochilus tonkinensis (Gagnep.) Ormerod & Aver.
183791,Festuca yvesii subsp. bellottii (Auquier & Kerguélen) Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka
183793,Festuca durissima subsp. bellottii Auquier & Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka
185769,Eria rupestris Blatt. & McCann,"Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen","Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen","Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen",Porpax reticosa (Wight) Schuit.
187013,Canthium carinatum Pierre ex Pit.,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera robusta K.M.Wong & X.Y.Ng
188859,"Narcissus × villasrubiensis var. maurensis González, Patino, Solís & Urrutia","Narcissus × villasrubiensis González, Patino, Solís & Urrutia","Narcissus × villasrubiensis González, Patino, Solís & Urrutia",Narcissus × richardianus P.Escobar,Narcissus × rupidulus Fern.Casas & Susanna
188886,Marsdenia obovata Turcz.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia affinis (A.Rich.) Morillo
188928,Marsdenia affinis A.Rich.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia affinis (A.Rich.) Morillo
188931,Marsdenia campanulata Griseb.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia campanulata (Griseb.) Morillo & Mora Méndez
188933,Marsdenia campanulata var. bifida Griseb.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia campanulata (Griseb.) Morillo & Mora Méndez
189945,Panicum crus-galli var. longisetum Döll,Echinochloa crus-galli subsp. crus-galli,Echinochloa crus-galli subsp. crus-galli,Echinochloa crus-galli subsp. crus-galli,Echinochloa oryzoides (Ard.) Fritsch
190766,Asperula cynanchica var. densiflora Gren.,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica subsp. occidentalis (Rouy) P.Caputo & Del Guacchio
190797,Chionodoxa salbacus Yıldırım,Chionodoxa salbacus Yıldırım,Chionodoxa salbacus Yıldırım,,
191637,Marsdenia beckii Morillo,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia beckii (Morillo) Morillo
191653,Pseudomarsdenia cundurango (Rchb.f.) Schltr.,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango subsp. cundurango
191654,Marsdenia cundurango Rchb.f.,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango subsp. cundurango
191655,Marsdenia reichenbachii Triana,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango (Triana) Liede & H.A.Keller,Ruehssia cundurango subsp. cundurango
192993,Kernera saxatilis var. hispanica Pau,Kernera saxatilis (L.) Sweet,Kernera saxatilis (L.) Sweet,Kernera saxatilis (L.) Sweet,Kernera saxatilis subsp. saxatilis
193529,Knautia arvensis f. ceretanica (Sennen) O.Bolòs & Vigo,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia collina (Gaudin) Jord.
193532,Knautia arvensis subsp. meridionalis (Briq.) O.Bolòs & Vigo,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia collina (Gaudin) Jord.
194159,Kalanchoe stearnii Raym.-Hamet,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe stearnii Raym.-Hamet
194461,Lobivia acanthoplegma var. oligotricha (Cárdenas) Gertel & R.Wahl,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Echinopsis oligotricha (Cárdenas) M.Lowry
195102,Lepidium reverchonii subsp. glaberrimum Braun-Blanq. & Gonz.Albo,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii subsp. villarsii
195103,Lepidium heterophyllum var. pratense J.Serres ex F.W.Schultz,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii subsp. villarsii
195104,Lepidium heterophyllum var. vazquezii Merino,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii Gren. & Godr.,Lepidium villarsii subsp. villarsii
195735,Lonicera dioica var. douglasii (Lindl.) Farw.,Lonicera dioica L.,Lonicera dioica L.,Lonicera dioica L.,Lonicera hirsuta Eaton
195767,Lonicera etrusca var. imperfoliata Vayr.,Lonicera etrusca Santi,Lonicera etrusca Santi,Lonicera etrusca Santi,Lonicera etrusca var. etrusca
195768,Lonicera etrusca var. reverchonii Willk. ex Rehder,Lonicera etrusca Santi,Lonicera etrusca Santi,Lonicera etrusca Santi,Lonicera etrusca var. etrusca
195818,Loeflingia baetica var. micrantha (Boiss. & Reut.) Heywood,Loeflingia baetica Lag.,Loeflingia baetica Lag.,Loeflingia baetica Lag.,Loeflingia baetica subsp. baetica
195820,Loeflingia hispanica subsp. gaditana (Boiss. & Reut.) Nyman,Loeflingia baetica Lag.,Loeflingia baetica Lag.,Loeflingia baetica Lag.,Loeflingia baetica subsp. baetica
196794,Lappula inconspicua Brand,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula occidentalis (S.Watson) Greene
196800,Echinospermum strictum Nees,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula texana (Scheele) Britton
197252,Lotus uliginosus var. brachycarpus Willk.,Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,Lotus pedunculatus subsp. pedunculatus
197256,Lotus corniculatus subsp. decumbens (Poir.) Merino,Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,Lotus pedunculatus subsp. pedunculatus
198343,Lupinus andersonii var. sublinearis C.P.Sm.,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus grayi S.Watson
198346,Lupinus caesius Eastw.,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus arbustus Douglas
198347,Lupinus pumicola A.Heller,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus albicaulis Douglas
198427,Lupinus brittonii Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus albifrons var. albifrons
198470,Lupinus subvexus var. wilkesii C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198471,Lupinus fischerianus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198472,Lupinus subvexus var. barbatissimus (C.P.Sm.) C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198473,Lupinus menziesii Torr.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198474,Lupinus densiflorus var. palustris (Kellogg) C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198475,Lupinus verticillatus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198476,Lupinus densiflorus var. decumbens C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198477,Lupinus palustris Kellogg,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198478,Lupinus densiflorus var. curvicarinus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198479,Lupinus recurvatus Meyen,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198480,Lupinus densiflorus var. crinitus Eastw.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198481,Lupinus densiflorus var. austrocollium C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198482,Lupinus comberianus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198483,Lupinus densiflorus var. barbatissimus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198484,Lupinus densiflorus J.Agardh,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198485,Lupinus densiflorus var. trichocalyx C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198486,Lupinus affinis Kellogg ex Curran,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198487,Lupinus densiflorus var. reedii C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
198488,Lupinus densiflorus var. stanfordianus C.P.Sm.,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus Sims,Lupinus microcarpus var. microcarpus
199117,Lathyrus inconspicuus var. erectus (Lag.) H.Lindb.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus var. inconspicuus
199119,Lathyrus inconspicuus subvar. grandiflorus Rouy,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus var. inconspicuus
199121,Lathyrus inconspicuus subvar. leiocarpus Rouy,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus var. inconspicuus
199122,Lathyrus inconspicuus var. oblongus Ser.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus var. inconspicuus
199123,Lathyrus inconspicuus var. stans (Vis.) Vis.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus L.,Lathyrus inconspicuus var. inconspicuus
200487,Lupinus louise-grisetae C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus andersonii S.Watson
200489,Lupinus lingulae C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus andersonii S.Watson
200491,Lupinus mariposanus Eastw.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus andersonii S.Watson
200652,Myosotis arvensis var. alpicola Hartm.,Myosotis decumbens Host,Myosotis decumbens Host,Myosotis decumbens Host,Myosotis decumbens subsp. decumbens
200846,Myosotis nemorosa subsp. brevisetacea R.Schust.,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa subsp. nemorosa
200847,Myosotis palustris var. orbelica Velen.,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa subsp. nemorosa
200849,Myosotis palustris var. glabrescens Rouy,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa Besser,Myosotis nemorosa subsp. nemorosa
201679,Mammillaria manana W.A.Fitz Maur. & B.Fitz Maur.,Mammillaria fittkaui subsp. limonensis (Repp.) Lüthy,Mammillaria fittkaui subsp. limonensis (Repp.) Lüthy,Mammillaria limonensis Repp.,Mammillaria manana W.A.Fitz Maur. & B.Fitz Maur.
202109,Schwabea modesta Endl.,Monechma ciliatum (Jacq.) Milne-Redh.,Monechma ciliatum (Jacq.) Milne-Redh.,Pogonospermum ciliatum (Jacq.) I.Darbysh. & Kiel,
202112,Schwabea Endl.,Monechma Hochst.,Monechma Hochst.,Meiosperma Raf.,
202114,Pogonospermum Hochst.,Monechma Hochst.,Monechma Hochst.,Meiosperma Raf.,Pogonospermum Hochst.
202159,Justicia lolioides var. latifolia S.Moore,Monechma lolioides (S.Moore) C.B.Clarke,Monechma lolioides (S.Moore) C.B.Clarke,Pogonospermum lolioides (S.Moore) I.Darbysh. & Kiel,Pogonospermum lolioides var. latifolium (S.Moore) I.Darbysh. & Kiel
202390,Onosma emodi var. stelligera (I.M.Johnst.) R.R.Mill,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga vestita var. stelligera (I.M.Johnst.) L.Cecchi & Hilger
202392,Onosma vestita Wall. ex G.Don,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga vestita (Wall. ex G.Don) L.Cecchi & Hilger
202487,Cyathocalyx subsessilis Ast,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne subsessilis (Ast) J.Sinclair
202490,Meiogyne subsessilis (Ast) J.Sinclair,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne subsessilis (Ast) J.Sinclair
204283,Medicago leiocarpa var. segobricensis Pau,Medicago suffruticosa Ramond ex DC.,Medicago suffruticosa Ramond ex DC.,Medicago suffruticosa Ramond ex DC.,Medicago suffruticosa subsp. suffruticosa
205315,Eriochiton (R.H.Anderson) A.J.Scott,Maireana Moq.,Maireana Moq.,Maireana Moq.,Eriochiton (R.H.Anderson) A.J.Scott
