,taxon_name_w_authors,v11_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
169807,Triticum glaucum Honck.,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium (Host) Barkworth & D.R.Dewey,Triticum turgidum subsp. polonicum (L.) Thell.,Triticum turgidum L.,Thinopyrum,Triticum
173004,Paepalanthus saxicola var. pilosus Moldenke,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Paepalanthus amphibius Trovó,Paepalanthus amphibius Trovó,Syngonanthus,Paepalanthus
183791,Festuca yvesii subsp. bellottii (Auquier & Kerguélen) Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka,Festuca billyi Kerguélen & Plonka,Lolium,Festuca
183793,Festuca durissima subsp. bellottii Auquier & Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka,Festuca billyi Kerguélen & Plonka,Lolium,Festuca
194461,Lobivia acanthoplegma var. oligotricha (Cárdenas) Gertel & R.Wahl,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Echinopsis oligotricha (Cárdenas) M.Lowry,Echinopsis oligotricha (Cárdenas) M.Lowry,Lobivia,Echinopsis
208942,Ocotea minarum var. canescens (Meisn.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Nectandra psammophila Nees & Mart.,Nectandra psammophila Nees & Mart.,Ocotea,Nectandra
220424,Phellopterus jonesii (J.M.Coult. & Rose) Rydb.,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Cymopterus coulteri (M.E.Jones) Mathias,Cymopterus coulteri (M.E.Jones) Mathias,Rhysopterus,Cymopterus
220428,Rhysopterus jonesii J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Rhysopterus plurijugus J.M.Coult. & Rose,Cymopterus coulteri (M.E.Jones) Mathias,Cymopterus coulteri (M.E.Jones) Mathias,Rhysopterus,Cymopterus
231617,Viola tricolor var. polychroma (A.Kern.) Gams,Viola L.,Viola L.,Viola L.,,Viola tricolor subsp. subalpina Gaudin,Viola tricolor L.,,Viola
236868,Stellaria rotundifolia Poir.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata (L.) Willd. ex Schult.,Stellaria,Drymaria
236869,Alsine rotundifolia (Poir.) Macloskie,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata (L.) Willd. ex Schult.,Stellaria,Drymaria
236871,Drymaria rotundifolia (Poir.) Har.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata (L.) Willd. ex Schult.,Stellaria,Drymaria
238508,Spergularia nobreana Samp.,Sagina hawaiensis Pax,Sagina hawaiensis Pax,Sagina hawaiensis Pax,Sagina hawaiensis Pax,Spergularia media subsp. media,Spergularia media (L.) C.Presl,Sagina,Spergularia
242323,Statice ciliata (Lange) Rothm.,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Armeria ciliata (Lange) Nieto Fel.,Armeria ciliata (Lange) Nieto Fel.,Limonium,Armeria
245708,Malva spicata L.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
257338,Paullinia grandiflora Cambess.,Paullinia pinnata L.,Paullinia pinnata L.,Paullinia pinnata L.,Paullinia pinnata L.,Serjania erecta Radlk.,Serjania erecta Radlk.,Paullinia,Serjania
271953,Aillya umbellata (de Vriese) de Vriese,Scaevola pulchella Carolin,Scaevola pulchella Carolin,Scaevola pulchella Carolin,Scaevola pulchella Carolin,Goodenia pulchella Benth.,Goodenia pulchella Benth.,Scaevola,Goodenia
274008,Stauracanthus genistoides f. spartioides (Webb) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex minor Roth,Ulex minor Roth,Stauracanthus,Ulex
274010,Stauracanthus aphyllus f. spartioides (Webb) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex minor Roth,Ulex minor Roth,Stauracanthus,Ulex
274012,Ulex genistoides f. spartioides (Webb) C.Vicioso,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex minor Roth,Ulex minor Roth,Stauracanthus,Ulex
274013,Ulex genistoides var. spartioides (Webb) C.Vicioso,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex minor Roth,Ulex minor Roth,Stauracanthus,Ulex
287915,Aniba megacarpa Hemsl.,Aniba canelilla (Kunth) Mez,Aniba canelilla (Kunth) Mez,Aniba canelilla (Kunth) Mez,Aniba canelilla (Kunth) Mez,Licaria cannella subsp. cannella,Licaria cannella (Meisn.) Kosterm.,Aniba,Licaria
316681,Brassica mesopotamica (Spreng.) Bernh.,"Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez","Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez","Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez","Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez",Mutarda arvensis (L.) D.A.German,Mutarda arvensis (L.) D.A.German,Coincya,Mutarda
319274,Lithocardium macranthum (Cham.) Kuntze,Cordia macrantha Chodat,Cordia macrantha Chodat,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora (Ruiz & Pav.) Oken,Varronia paucidentata (Fresen.) Friesen,Varronia paucidentata (Fresen.) Friesen,Cordia,Varronia
321608,Luffa cylindrica var. multiflora (Spreng.) Domin,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321816,Luffa racemosa Roxb.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321829,Luffa arabum Steud.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321831,Luffa clavata Roxb.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321833,Luffa cordata Meisn. ex M.Roem.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321836,Luffa hederacea Wall. ex G.Don,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321838,Luffa foetida Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321840,Luffa jacquinii Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321843,Luffa veitchii Naudin,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321845,Luffa vittata Zipp. ex Span.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321846,Luffa striata Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321848,Luffa satpatia Buch.-Ham. ex G.Don,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321850,Luffa parvala Buch.-Ham.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321852,Luffa scabra Schumach. & Thonn.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
321854,Luffa luffa (L.) A.Lyons,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Luffa aegyptiaca Mill.,Luffa aegyptiaca Mill.,Cucumis,Luffa
327125,Annona laevigata Mart.,Desmos chinensis Lour.,Desmos chinensis Lour.,Desmos chinensis Lour.,Desmos chinensis Lour.,Xylopia laevigata (Mart.) R.E.Fr.,Xylopia laevigata (Mart.) R.E.Fr.,Desmos,Xylopia
337001,Cactus berteroi Colla,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Cumulopuntia berteroi (Colla) F.Ritter,Cumulopuntia berteroi (Colla) F.Ritter,Eriosyce,Cumulopuntia
337429,Brassica purpurascens Banks & Sol.,Erucaria hispanica (L.) Druce,Erucaria hispanica (L.) Druce,Erucaria hispanica (L.) Druce,Erucaria hispanica (L.) Druce,Chorispora purpurascens (Banks & Sol.) Eig,Chorispora purpurascens (Banks & Sol.) Eig,Erucaria,Chorispora
357619,Indigofera enneaphylla L.,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Psoralea pinnata L.,Psoralea pinnata L.,Indigofera,Psoralea
365667,Polygala caripensis Turcz.,Asemeia violacea (Aubl.) J.F.B.Pastore & J.R.Abbott,Asemeia violacea (Aubl.) J.F.B.Pastore & J.R.Abbott,Asemeia violacea (Aubl.) J.F.B.Pastore & J.R.Abbott,Asemeia violacea (Aubl.) J.F.B.Pastore & J.R.Abbott,Senega paniculata (L.) J.F.B.Pastore & J.R.Abbott,Senega paniculata (L.) J.F.B.Pastore & J.R.Abbott,Asemeia,Senega
388266,× Sorbaronia dippelii var. superaria C.K.Schneid.,× Aroniaria dippelii (Zabel) Mezhenskyj,× Aroniaria dippelii (Zabel) Mezhenskyj,× Aroniaria dippelii (Zabel) Mezhenskyj,× Aroniaria dippelii (Zabel) Mezhenskyj,Aria edulis (Willd.) M.Roem.,Aria edulis (Willd.) M.Roem.,× Aroniaria,Aria
389526,Lobivia chrysacantha (Backeb.) H.P.Kelsey & Dayton,Echinopsis jajoana (Backeb.) Blossf.,Echinopsis jajoana (Backeb.) Blossf.,Echinopsis jajoana (Backeb.) Blossf.,Echinopsis jajoana (Backeb.) Blossf.,Rebutia minuscula var. minuscula,Rebutia minuscula K.Schum.,Echinopsis,Rebutia
394385,Monochaetum canescens (Bonpl.) J.F.Macbr.,Monochaetum bonplandii (Kunth) Naudin,Monochaetum bonplandii (Kunth) Naudin,Monochaetum bonplandii (Kunth) Naudin,Monochaetum bonplandii (Kunth) Naudin,Brachyotum ledifolium (Desr.) Triana,Brachyotum ledifolium (Desr.) Triana,Monochaetum,Brachyotum
399823,Arctium intermedium Lange,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Arctium nemorosum Lej.,Arctium nemorosum Lej.,Cousinia,Arctium
404174,Vernonia andohii C.D.Adams,Brenandendron donianum (DC.) H.Rob.,Brenandendron donianum (DC.) H.Rob.,Brenandendron donianum (DC.) H.Rob.,Brenandendron donianum (DC.) H.Rob.,Vernonia andohii C.D.Adams,Vernonia andohii C.D.Adams,Brenandendron,Vernonia
406177,Chondrilla sonchifolia (Willd.) Poir.,Lactuca indica L.,Lactuca indica L.,Lactuca indica L.,Lactuca indica L.,Launaea intybacea (Jacq.) Beauverd,Launaea intybacea (Jacq.) Beauverd,Lactuca,Launaea
417478,Gnaphalium petiolatum L.,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Staehelina petiolata (L.) Hilliard & B.L.Burtt,Staehelina petiolata (L.) Hilliard & B.L.Burtt,Helichrysum,Staehelina
418097,Gnaphalium simplex A.Rich.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,"Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange","Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange",Euchiton,Pseudognaphalium
419669,Dichrocephala paniculata Miq.,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia (L.f.) Kuntze,Myriactis javanica (Blume) DC.,Myriactis javanica (Blume) DC.,Dichrocephala,Myriactis
425663,Inula saxatilis Lam.,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa (L.) Greuter,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus (L.) Fourr.,Dittrichia,Chiliadenus
440353,Cyathea incanescens Domin,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Alsophila manniana (Hook.) R.M.Tryon,Alsophila manniana (Hook.) R.M.Tryon,Cyathea,Alsophila
440980,Asplenium arifolium Burm.f.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum,Hemionitis
444904,Polypodium berteroanum Spreng.,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis (G.Forst.) Ching,Megalastrum,Rumohra
447282,Polypodium loriceum var. umbraticum Christ,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Serpocaulon dissimile (L.) A.R.Sm.,Serpocaulon dissimile (L.) A.R.Sm.,Polypodium,Serpocaulon
447963,Gymnosphaera melanotricha (Tardieu) Tardieu,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
447965,Alsophila castanea Baker,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
447966,Alsophila melanotricha Tardieu,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
447967,Cyathea badia Domin,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
447969,Cyathea melanotricha (Tardieu) Tindale,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
447970,Cyathea rigidula Baker,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,,Gymnosphaera
450074,Alsophila fragilis Zoll. & Moritzi,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Arachniodes aristata (G.Forst.) Tindale,Arachniodes aristata (G.Forst.) Tindale,Thelypteris,Arachniodes
450079,Meniscium fragile Kunze,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Arachniodes aristata (G.Forst.) Tindale,Arachniodes aristata (G.Forst.) Tindale,Thelypteris,Arachniodes
451108,Paradavallodes chingiae (Ching) Ching,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallia chingiae (Ching) Xiao D.Ma & F.G.Wang,Davallia chingiae (Ching) Xiao D.Ma & F.G.Wang,Davallodes,Davallia
457672,Ulex parviflorus subsp. willkommii (Webb) Borja & al.,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
457675,Ulex parviflorus var. willkommii (Webb) C.Vicioso,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
457677,Ulex scaber var. willkommii (Webb) Samp.,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
457681,Ulex willkommii Webb,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
467039,Moronobea grandiflora Choisy,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis Mart.,Moronobea coccinea Aubl.,Moronobea coccinea Aubl.,Platonia,Moronobea
467041,Moronobea montana Schltdl.,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis Mart.,Moronobea coccinea Aubl.,Moronobea coccinea Aubl.,Platonia,Moronobea
469103,Valeriana pygmaea Turcz.,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia Kunth,"Borealandea nubigena (Bonpl.) Al-Shehbaz, Salariato, A.Cano & Zuloaga","Borealandea nubigena (Bonpl.) Al-Shehbaz, Salariato, A.Cano & Zuloaga",Valeriana,Borealandea
482128,Arytera leichhardtii var. hebepetala (Benth.) Radlk.,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan Lour.,Arytera foveolata F.Muell.,Arytera foveolata F.Muell.,Dimocarpus,Arytera
482142,Euphoria leichhardtii var. hebepetala Benth.,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan Lour.,Arytera foveolata F.Muell.,Arytera foveolata F.Muell.,Dimocarpus,Arytera
488094,Anthemis valentina L.,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale (Jacq.) Cass.,Anacyclus radiatus Loisel.,Anacyclus radiatus Loisel.,Porophyllum,Anacyclus
498540,Mimosa terminalis Vell.,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,"Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim","Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim",Pseudalbizzia,Hydrochorea
514804,Citharexylum flexuosum var. subglabrum Moldenke,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Lycium americanum Jacq.,Lycium americanum Jacq.,Citharexylum,Lycium
525905,Eria fragrans Rchb.f.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
526183,Dendrolirium rugosum Blume,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
