,taxon_name_w_authors,v11_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,6860,6860,6860,6849,6722,6860,6735
unique,6860,2292,2292,2283,2148,2633,2321
top,Sedum taiwanianum S.S.Ying,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor subsp. bicolor,Sorghum bicolor (L.) Moench
freq,1,330,330,330,330,330,330
