,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,1403227,1358520,1317380
unique,1403227,427990,357278
top,Behuria magdalenensis (Brade) R.Tav. & Baumgratz,Rosa canina L.,Rosa canina L.
freq,1,1082,1082
