,taxon_name_w_authors,v11_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author
count,1358431,1358431,1358431,1358044,1317006
unique,1358431,427245,427245,425411,355496
top,Stachys pustulosa Rydb.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina L.
freq,1,1128,1128,1128,1128
