,v15_v16
number of old unaccepted species names,675960
old unaccepted species names are now accepted,819
Number of old Synonyms which are now accepted,523
Number of old Unplaceds which are now accepted,102
Number of old Illegitimates which are now accepted,162
Number of old Invalids which are now accepted,27
Number of old Misapplieds which are now accepted,5
