,v14_v16
number of old accepted species names,364367
old accepted species names are no longer accepted,2932
Number which are now Synonym of which (homotypic)/(heterotypic),2584/1580/1004
Number which are now Unplaced of which (homotypic)/(heterotypic),126/0/126
Number which are now Illegitimate of which (homotypic)/(heterotypic),187/71/116
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),29/1/28
Number which are now Orthographic of which (homotypic)/(heterotypic),1/0/1
