,v11_v15
number of old accepted species names,358191
old accepted species names are no longer accepted,7430
Number which are now Synonym of which (homotypic)/(heterotypic),6845/4044/2802
Number which are now Unplaced of which (homotypic)/(heterotypic),287/0/287
Number which are now Invalid of which (homotypic)/(heterotypic),46/2/44
Number which are now Illegitimate of which (homotypic)/(heterotypic),247/110/137
Number which are now Orthographic of which (homotypic)/(heterotypic),4/0/4
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
