,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
count,333,333,333,314,309,333,333,309,333
unique,333,186,186,182,178,192,189,165,171
top,Attalea polysticha (Burret) Wess.Boer,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
freq,1,22,22,22,22,21,21,22,23
