,taxon_name_w_authors,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
count,1388356,1343924,1303031
unique,1388356,425240,355016
top,Behuria magdalenensis (Brade) R.Tav. & Baumgratz,Rosa canina L.,Rosa canina L.
freq,1,1081,1081
