,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author
count,1342572,1342572,1342572,1342115,1301358
unique,1342572,423428,423428,420905,351947
top,Colocasia aethiopica (L.) Link,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina L.
freq,1,1135,1135,1135,1135
