,v14_v15
number of new accepted species names,364351
number of old accepted species names,364367
new accepted species names which were previously published,363741
number of new species names,1040026
number of old species names,1039899
new species names not in old,1958
species names have disappearedbut this could be due to orthographic changes with authorship,1831
