,taxon_name_w_authors,v15_direct_accepted_name_w_author,v15_direct_accepted_species
count,1336868,1336868,1296127
unique,1336868,424223,354797
top,Seruneum puberulum Kuntze,Rosa canina L.,Rosa canina
freq,1,1078,1078
