,v10_v15,Percentages
original_names,1359750,100.0
total_disagreements,15480,1.1384445670159955
species_disagreements,8305,0.6107740393454679
genus_disagreements,833,0.06126126126126126
unresolved_via_chaining_despite_a_direct_resolution,34,0.002500459643316786
