,taxon_name_w_authors,v10_accepted_name_w_author,v15_taxon_name_w_authors,v15_chained_accepted_name_w_author,v15_chained_accepted_species
count,1333101,1333101,1333101,1332283,1291635
unique,1333101,421288,421288,416954,349526
top,Ozoroa obovata var. gomesiana (R.Fern. & A.Fern.) R.Fern. & A.Fern.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1135,1135,1135,1135
