,taxon_name_w_authors,v10_accepted_name_w_author,v15_taxon_name_w_authors,v15_chained_accepted_name_w_author,v15_chained_accepted_species,v15_direct_accepted_name_w_author,v15_direct_accepted_species
count,15480,15480,15480,15480,15127,15480,15136
unique,15480,4883,4883,4863,4503,5857,5077
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
freq,1,316,316,316,316,316,316
