,taxon_name_w_authors,v10_accepted_name_w_author,v11_taxon_name_w_authors,v11_chained_accepted_name_w_author,v11_chained_accepted_species_w_author
count,1351057,1351057,1351057,1350873,1309998
unique,1351057,425417,425417,424641,354349
top,Colocasia aethiopica (L.) Link,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina L.
freq,1,1135,1135,1135,1135
