,taxon_name_w_authors,v11_direct_accepted_name_w_author,v11_direct_accepted_species_w_author
count,1400230,1352628,1311635
unique,1400230,426635,355802
top,Stachys pustulosa Rydb.,Rosa canina L.,Rosa canina L.
freq,1,1127,1127
