,Model,R-squared
0,Linear,0.40777641526212716
1,LOESS,0.5022964282655487
2,Polynomial 2,0.49421357739305694
3,Polynomial 3,0.541561119994938
4,Polynomial 4,0.4139205998067048
5,Polynomial 5,0.288444951857318
6,Polynomial 6,0.21331615602007892
7,Polynomial 7,0.1685797641903426
