,v13_v15
number of old unaccepted species names,672684
old unaccepted species names are now accepted,2899
Number of old Synonyms which are now accepted,2416
Number of old Invalids which are now accepted,26
Number of old Unplaceds which are now accepted,280
Number of old Illegitimates which are now accepted,173
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
