,v15_v16
number of old accepted species names,364351
old accepted species names are no longer accepted,1924
Number which are now Synonym of which (homotypic)/(heterotypic),1634/1200/434
Number which are now Unplaced of which (homotypic)/(heterotypic),83/0/83
Number which are now Illegitimate of which (homotypic)/(heterotypic),176/64/112
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),26/1/25
