,taxon_name_w_authors,v11_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species
count,1345469,1345469,1345469,1344607,1303709
unique,1345469,424189,424189,420056,352212
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1128,1128,1128,1128
