,taxon_name_w_authors,v16_direct_accepted_name_w_author,v16_direct_accepted_species
count,1349233,1349233,1308274
unique,1349233,426940,357204
top,Scopelogena L.Bolus ex A.G.J.Herre,Rosa canina L.,Rosa canina
freq,1,1079,1079
