,v10_v15
number of new accepted species names,364351
number of old accepted species names,356292
new accepted species names which were previously published,348132
number of new species names,1040026
number of old species names,1023695
new species names not in old,36060
species names have disappearedbut this could be due to orthographic changes with authorship,19729
