,v12_v16
number of old accepted species names,358923
old accepted species names are no longer accepted,7522
Number which are now Synonym of which (homotypic)/(heterotypic),6960/4508/2453
Number which are now Unplaced of which (homotypic)/(heterotypic),263/0/263
Number which are now Illegitimate of which (homotypic)/(heterotypic),252/114/138
Number which are now Orthographic of which (homotypic)/(heterotypic),3/0/3
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),41/1/40
