,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
count,929,929,929,929,518,929,520,929,929
unique,929,498,498,498,292,577,297,457,516
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Phyllanthus L.,Eria stellata,Bulbophyllum,Eria
freq,1,22,22,22,22,21,21,22,23
