,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
count,9443,9443,9443,9443,9025,9443,9015,9443,9443
unique,9443,3661,3661,3660,3422,4369,4012,1586,1657
top,"Psorothamnus arborescens var. californicus (S.Watson) D.Sutherl., Gandhi & Vincent",Persicaria amphibia (L.) Delarbre,Persicaria amphibia (L.) Delarbre,Persicaria amphibia (L.) Delarbre,Persicaria amphibia,Persicaria coccinea (Muhl. ex Willd.) Greene,Persicaria coccinea,Rubus,Rubus
freq,1,112,112,112,112,112,112,198,198
