,v10_11_12_13_14_15_v16,Percentages
original_names,1359750,100.0
total_disagreements,17460,1.2840595697738555
species_disagreements,9443,0.6944658944658945
genus_disagreements,929,0.06832138260709689
unresolved_via_chaining_despite_a_direct_resolution,6,0.000441257584114727
