,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
55481,Oldenlandia burmanniana G.Don,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa,Scleromitrion diffusum (Willd.) R.J.Wang,Scleromitrion diffusum,Oldenlandia,Scleromitrion
55487,Hedyotis burmanniana R.Br. ex Wall.,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa var. corymbosa,Oldenlandia corymbosa,Scleromitrion diffusum (Willd.) R.J.Wang,Scleromitrion diffusum,Oldenlandia,Scleromitrion
69468,Rhodospatha tuerckheimii Engl. & K.Krause,Rhodospatha wendlandii Schott,Rhodospatha wendlandii Schott,Rhodospatha wendlandii Schott,Rhodospatha wendlandii,Stenospermation tuerckheimii (Engl. & K.Krause) Croat,Stenospermation tuerckheimii,Rhodospatha,Stenospermation
72082,Spermacoce tubularis R.Br. ex Wall.,Scleromitrion angustifolium (Cham. & Schltdl.) Benth.,Scleromitrion angustifolium (Cham. & Schltdl.) Benth.,Scleromitrion angustifolium (Cham. & Schltdl.) Benth.,Scleromitrion angustifolium,Spermacoce articularis L.f.,Spermacoce articularis,Scleromitrion,Spermacoce
72744,Orthechites Urb.,Secondatia A.DC.,Secondatia A.DC.,Odontadenia Benth.,,Orthechites Urb.,,Odontadenia,Orthechites
73414,Holtonia Standl.,Simira Aubl.,Simira Aubl.,Simira Aubl.,,Holtonia Standl.,,Simira,Holtonia
74168,Brachynema F.Muell.,Sphenodesme Jack,Sphenodesme Jack,Sphenodesme Jack,,Abrophyllum Hook.f.,,Sphenodesme,Abrophyllum
76367,Eugenia tenuiramis Miq.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum,Eugenia egensis DC.,Eugenia egensis,Syzygium,Eugenia
76373,Eugenia egensis var. tenuiramis (Miq.) O.Berg,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum,Eugenia egensis DC.,Eugenia egensis,Syzygium,Eugenia
79416,Tubella (Luer) Archila,Trichosalpinx Luer,Trichosalpinx Luer,Trichosalpinx Luer,,Karma Karremans,,Trichosalpinx,Karma
79901,Lazarum A.Hay,Typhonium Schott,Typhonium Schott,Typhonium Schott,,Lazarum A.Hay,,Typhonium,Lazarum
81350,Metrosideros pictipetala Blanco,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus,Decaspermum parviflorum subsp. parviflorum,Decaspermum parviflorum,Xanthostemon,Decaspermum
82155,Restrepia liebmanniana Kraenzl.,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia,Andreettaea marginata (Rich.) A.Doucette,Andreettaea marginata,Acianthera,Andreettaea
82492,Eriolopha Ridl.,Alpinia Roxb.,Alpinia Roxb.,Alpinia Roxb.,,Hellwigia Warb.,,Alpinia,Hellwigia
82515,Hellwigia Warb.,Alpinia Roxb.,Alpinia Roxb.,Alpinia Roxb.,,Hellwigia Warb.,,Alpinia,Hellwigia
94296,Nidularium lindenii Regel,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta,Edmundoa lindenii (Regel) Leme,Edmundoa lindenii,Hohenbergia,Edmundoa
96585,Ptilanthelium Steud.,Schoenus L.,Schoenus L.,Schoenus L.,,Chaetospora R.Br.,,Schoenus,Chaetospora
98463,Chaetospora R.Br.,Schoenus L.,Schoenus L.,Schoenus L.,,Chaetospora R.Br.,,Schoenus,Chaetospora
104701,Autonoe (Webb & Berthel.) Speta,Scilla L.,Scilla L.,Scilla L.,,Autonoe (Webb & Berthel.) Speta,,Scilla,Autonoe
108910,Behria Greene,Bessera Schult.f.,Bessera Schult.f.,Bessera Schult.f.,,Behria Greene,,Bessera,Behria
114108,Ludovia subacaulis Poit.,Evodianthus funifer subsp. funifer,Evodianthus funifer subsp. funifer,Evodianthus funifer subsp. funifer,Evodianthus funifer,Asplundia brachyphylla Harling,Asplundia brachyphylla,Evodianthus,Asplundia
114650,Eschweilera praeclara Sandwith,Chytroma holcogyne (Sandwith) R.Knuth,Chytroma holcogyne (Sandwith) R.Knuth,Chytroma holcogyne (Sandwith) R.Knuth,Chytroma holcogyne,Lecythis praeclara (Sandwith) S.A.Mori ex Molino & Sabatier,Lecythis praeclara,Chytroma,Lecythis
117539,Sympa Ravenna,Herbertia Sweet,Herbertia Sweet,Herbertia Sweet,,Cypella Herb.,,Herbertia,Cypella
118219,Ixia striata Vahl,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia,Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Tritonia gladiolaris,Ixia,Tritonia
121109,Retzia campanuloides (L.f.) Spreng.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis,Prismatocarpus campanuloides (L.f.) Sond.,Prismatocarpus campanuloides,Retzia,Prismatocarpus
121111,Retzia roelloides (L.f.) Spreng.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis,Prismatocarpus pedunculatus (P.J.Bergius) A.DC.,Prismatocarpus pedunculatus,Retzia,Prismatocarpus
122252,Zingiber truncatum Stokes,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet,Curcuma zedoaria (Christm.) Roscoe,Curcuma zedoaria,Zingiber,Curcuma
137787,Gigantochloa auriculata (Kurz) Kurz,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris,Gigantochloa auriculata (Kurz) Kurz,Gigantochloa auriculata,Bambusa,Gigantochloa
137791,Oxytenanthera auriculata (Kurz) Prain,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris,Gigantochloa auriculata (Kurz) Kurz,Gigantochloa auriculata,Bambusa,Gigantochloa
137811,Bambusa auriculata Kurz,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris Schrad. ex J.C.Wendl.,Bambusa vulgaris,Gigantochloa auriculata (Kurz) Kurz,Gigantochloa auriculata,Bambusa,Gigantochloa
147979,Sinobambusa anaurita T.H.Wen,Oligostachyum hupehense (J.L.Lu) Z.P.Wang & G.H.Ye,Oligostachyum hupehense (J.L.Lu) Z.P.Wang & G.H.Ye,Oligostachyum hupehense (J.L.Lu) Z.P.Wang & G.H.Ye,Oligostachyum hupehense,"Acidosasa anaurita (T.H.Wen) W.Y.Zhang & N.X.Ma ex N.H.Xia, Zhi X.Zhang & Z.Y.Cai",Acidosasa anaurita,Oligostachyum,Acidosasa
147984,Sinobambusa sulcata W.T.Lin & Z.M.Wu,Oligostachyum scabriflorum (McClure) Z.P.Wang & G.H.Ye,Oligostachyum scabriflorum (McClure) Z.P.Wang & G.H.Ye,Oligostachyum scabriflorum (McClure) Z.P.Wang & G.H.Ye,Oligostachyum scabriflorum,Acidosasa gracilis W.T.Lin & X.B.Ye,Acidosasa gracilis,Oligostachyum,Acidosasa
152037,Trisetum balearicum Gand.,Aegialina pumila (Lam.) Quintanar & Barberá,Aegialina pumila (Lam.) Quintanar & Barberá,Aegialina pumila (Lam.) Quintanar & Barberá,Aegialina pumila,Avellinia festucoides (Link) Valdés & H.Scholz,Avellinia festucoides,Aegialina,Avellinia
154912,Trisetaria lapalmae H.Scholz,Trisetaria loeflingiana (L.) Paunero,Trisetaria loeflingiana (L.) Paunero,Trisetaria loeflingiana (L.) Paunero,Trisetaria loeflingiana,Aegialina lapalmae (H.Scholz) Quintanar & Barberá,Aegialina lapalmae,Trisetaria,Aegialina
155986,Falona Adans.,Cynosurus L.,Cynosurus L.,Cynosurus L.,,Falona Adans.,,Cynosurus,Falona
156017,× Pseudelymus Barkworth & D.R.Dewey,Elymus L.,Elymus L.,Elymus L.,,× Pseudelymus Barkworth & D.R.Dewey,,Elymus,× Pseudelymus
156050,Boriskellera Terechov,Eragrostis Wolf,Eragrostis Wolf,Eragrostis Wolf,,Sporobolus R.Br.,,Eragrostis,Sporobolus
157569,Eria merrillii Ames,Pinalia ovata (Lindl.) W.Suarez & Cootes,Pinalia ovata (Lindl.) W.Suarez & Cootes,Pinalia ovata (Lindl.) W.Suarez & Cootes,Pinalia ovata,Eria cochleata Lindl.,Eria cochleata,Pinalia,Eria
162667,Panicum granuliferum var. longifolium Kuntze,Trichanthecium granuliferum (Kunth) Zuloaga & Morrone,Trichanthecium granuliferum (Kunth) Zuloaga & Morrone,Trichanthecium granuliferum (Kunth) Zuloaga & Morrone,Trichanthecium granuliferum,Panicum trichanthum Nees,Panicum trichanthum,Trichanthecium,Panicum
166816,Triticum glaucum Honck.,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium subsp. intermedium,Thinopyrum intermedium,Triticum turgidum subsp. polonicum (L.) Thell.,Triticum turgidum,Thinopyrum,Triticum
169898,Paepalanthus saxicola var. pilosus Moldenke,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola (Körn.) Trovó & Stützel,Syngonanthus saxicola,Paepalanthus amphibius Trovó,Paepalanthus amphibius,Syngonanthus,Paepalanthus
170628,Hedyotis blumeana Steud.,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum,Oldenlandia paniculata L.,Oldenlandia paniculata,Leptopetalum,Oldenlandia
170906,Hedyotis ramosissima Blume,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum (L.) Neupane & N.Wikstr.,Leptopetalum biflorum,Oldenlandia paniculata L.,Oldenlandia paniculata,Leptopetalum,Oldenlandia
171564,Hordeum sieberianum Besser,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum subsp. compactum (Host) H.Messik.,Triticum aestivum,Hordeum bulbosum L.,Hordeum bulbosum,Triticum,Hordeum
173216,Cynanchum crispum Thunb.,Fischeria scandens DC.,Fischeria scandens DC.,Fischeria scandens DC.,Fischeria scandens,Ceropegia crispa (Thunb.) ined.,Ceropegia crispa,Fischeria,Ceropegia
173909,Pseudosarcolobus Costantin,Marsdenia R.Br.,Marsdenia R.Br.,Marsdenia R.Br.,,Pseudosarcolobus Costantin,,Marsdenia,Pseudosarcolobus
175661,Rhodostegiella (Pobed.) C.Y.Wu & D.Z.Li,Vincetoxicum Wolf,Vincetoxicum Wolf,Vincetoxicum Wolf,,Cynanchum L.,,Vincetoxicum,Cynanchum
180436,Festuca yvesii subsp. bellottii (Auquier & Kerguélen) Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Lolium font-queri,Festuca billyi Kerguélen & Plonka,Festuca billyi,Lolium,Festuca
180438,Festuca durissima subsp. bellottii Auquier & Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Lolium font-queri,Festuca billyi Kerguélen & Plonka,Festuca billyi,Lolium,Festuca
181610,Stachytarpheta fiebrigii Moldenke,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile,Stachytarpheta fiebrigii Moldenke,Stachytarpheta fiebrigii,Citharexylum,Stachytarpheta
189134,Thylacanthus Tul.,Julbernardia Pellegr.,Julbernardia Pellegr.,Julbernardia Pellegr.,,Thylacanthus Tul.,,Julbernardia,Thylacanthus
189180,Fimbriaria A.Juss.,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,,Schwannia Endl.,,Janusia,Schwannia
189182,Cottsia Dubard & Dop,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,,Cottsia Dubard & Dop,,Janusia,Cottsia
189183,Schwannia Endl.,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,Janusia A.Juss. ex Endl.,,Schwannia Endl.,,Janusia,Schwannia
190160,Eucarpha (R.Br.) Spach,Knightia R.Br.,Knightia R.Br.,Knightia R.Br.,,Eucarpha (R.Br.) Spach,,Knightia,Eucarpha
191139,Marginatocereus Backeb.,Lophocereus Britton & Rose,Lophocereus Britton & Rose,Lophocereus Britton & Rose,,Marginatocereus Backeb.,,Lophocereus,Marginatocereus
193389,Ligusticum apiifolium var. minus A.Gray,Lomatium dissectum (Nutt.) Mathias & Constance,Lomatium dissectum (Nutt.) Mathias & Constance,Lomatium dissectum (Nutt.) Mathias & Constance,Lomatium dissectum,Ligusticum grayi J.M.Coult. & Rose,Ligusticum grayi,Lomatium,Ligusticum
196011,Tetranthera geniculata var. grandiflora Nees,Lindera benzoin (L.) Blume,Lindera benzoin (L.) Blume,Lindera benzoin (L.) Blume,Lindera benzoin,Litsea aestivalis (L.) Fernald,Litsea aestivalis,Lindera,Litsea
196019,Laurus glomerata Lam.,Lindera benzoin (L.) Blume,Lindera benzoin (L.) Blume,Lindera benzoin (L.) Blume,Lindera benzoin,Litsea aestivalis (L.) Fernald,Litsea aestivalis,Lindera,Litsea
197732,Bartschella Britton & Rose,Mammillaria Haw.,Mammillaria Haw.,Mammillaria Haw.,,Cochemiea (K.Brandegee) Walton,,Mammillaria,Cochemiea
197748,Chilita Orcutt,Mammillaria Haw.,Mammillaria Haw.,Mammillaria Haw.,,Cochemiea (K.Brandegee) Walton,,Mammillaria,Cochemiea
197788,Oehmea Buxb.,Mammillaria Haw.,Mammillaria Haw.,Mammillaria Haw.,,Oehmea Buxb.,,Mammillaria,Oehmea
197791,Mammilloydia Buxb.,Mammillaria Haw.,Mammillaria Haw.,Mammillaria Haw.,,Mammilloydia Buxb.,,Mammillaria,Mammilloydia
197795,Phellosperma Britton & Rose,Mammillaria Haw.,Mammillaria Haw.,Mammillaria Haw.,,Cochemiea (K.Brandegee) Walton,,Mammillaria,Cochemiea
198442,Pogonospermum Hochst.,Meiosperma Raf.,Meiosperma Raf.,Meiosperma Raf.,,Pogonospermum Hochst.,,Meiosperma,Pogonospermum
199859,Otosema Benth.,Millettia Wight & Arn.,Millettia Wight & Arn.,Millettia Wight & Arn.,,Otosema Benth.,,Millettia,Otosema
200702,Geocarpon Mack.,Sabulina Rchb.,Sabulina Rchb.,Sabulina Rchb.,,Geocarpon Mack.,,Sabulina,Geocarpon
201007,Siccobaccatus P.J.Braun & Esteves,Micranthocereus Backeb.,Micranthocereus Backeb.,Micranthocereus Backeb.,,Coleocephalocereus Backeb.,,Micranthocereus,Coleocephalocereus
201570,Eriochiton (R.H.Anderson) A.J.Scott,Maireana Moq.,Maireana Moq.,Maireana Moq.,,Eriochiton (R.H.Anderson) A.J.Scott,,Maireana,Eriochiton
203230,Aphanandrium Lindau,Neriacanthus Benth. & Hook.f.,Neriacanthus Benth. & Hook.f.,Neriacanthus Benth. & Hook.f.,,Aphanandrium Lindau,,Neriacanthus,Aphanandrium
204395,Litsea cinnamomea Blume,Neolitsea cinnamomea (Ridl.) Kosterm.,Neolitsea cinnamomea (Ridl.) Kosterm.,Neolitsea cinnamomea (Ridl.) Kosterm.,Neolitsea cinnamomea,Litsea cinnamomea Blume,Litsea cinnamomea,Neolitsea,Litsea
205142,Ocotea minarum var. canescens (Meisn.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum,Nectandra psammophila Nees & Mart.,Nectandra psammophila,Ocotea,Nectandra
206369,Jacobinia barlerioides Nees,Odontonema barlerioides (Nees) Kuntze,Odontonema barlerioides (Nees) Kuntze,Odontonema barlerioides (Nees) Kuntze,Odontonema barlerioides,Tetramerium barlerioides (Nees) T.F.Daniel,Tetramerium barlerioides,Odontonema,Tetramerium
208776,Philomeda Noronha ex Thouars,Ochna L.,Ochna L.,Ochna L.,,Philomeda Noronha ex Thouars,,Ochna,Philomeda
208850,Campylochnella Tiegh.,Ochna L.,Ochna L.,Ochna L.,,Brackenridgea A.Gray,,Ochna,Brackenridgea
210166,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Turraea thouarsiana,Olax,Turraea
