,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
12163,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii,Bulbophyllum,Bulbophyllum
13333,Phyllotaenium André,Caladium Vent.,Caladium Vent.,Caladium Vent.,,Phyllotaenium André,,Caladium,Phyllotaenium
13774,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus pachypus,Calamus,Calamus
14034,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida,Calanthe,Calanthe
14077,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa,Calanthe,Calanthe
14467,Callitriche palustris var. bifida L.,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica,Callitriche palustris subsp. palustris,Callitriche palustris,Callitriche,Callitriche
14492,Callitriche capricorni R.Mason,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi,Callitriche capricorni R.Mason,Callitriche capricorni,Callitriche,Callitriche
14836,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Martiusella Pierre,,Chrysophyllum,Martiusella
14848,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Ragala Pierre,,Chrysophyllum,Ragala
14850,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,,Chrysophyllum,Chloroluma
14965,Caperonia hystrix Pax & K.Hoffm.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia,Caperonia hystrix Pax & K.Hoffm.,Caperonia hystrix,Caperonia,Caperonia
15423,Gilipus Raf.,Cephalanthus L.,Cephalanthus L.,Cephalanthus L.,,Myrica L.,,Cephalanthus,Myrica
16298,Cercestis lanceolatus Engl.,Cercestis ivorensis A.Chev.,Cercestis ivorensis A.Chev.,Cercestis ivorensis A.Chev.,Cercestis ivorensis,Cercestis kamerunianus (Engl.) N.E.Br.,Cercestis kamerunianus,Cercestis,Cercestis
16888,Chilocarpus malabaricus Bedd.,Chilocarpus denudatus Blume,Chilocarpus denudatus Blume,Chilocarpus denudatus Blume,Chilocarpus denudatus,Chilocarpus malabaricus Bedd.,Chilocarpus malabaricus,Chilocarpus,Chilocarpus
16988,Chiropetalum lineatum Klotzsch,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum,Chiropetalum latifolium (Chodat & Hassl.) J.Külkamp,Chiropetalum latifolium,Chiropetalum,Chiropetalum
16991,Chiropetalum tricoccum f. latifolium Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum,Chiropetalum latifolium (Chodat & Hassl.) J.Külkamp,Chiropetalum latifolium,Chiropetalum,Chiropetalum
17167,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Prieurella Pierre,,Chrysophyllum,Prieurella
17220,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Achrouteria Eyma,,Chrysophyllum,Achrouteria
17240,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,,Chrysophyllum,Cornuella
17243,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,,Chrysophyllum,Chloroluma
17681,Sarcanthus termissus Rchb.f.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum,Cleisostoma,Cleisostoma
17683,Sarcanthus josephi J.J.Sm.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum,Cleisostoma,Cleisostoma
17685,Sarcanthus auriculatus Rolfe,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum,Cleisostoma,Cleisostoma
17686,Sarcanthus angkorensis Guillaumin,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum,Cleisostoma,Cleisostoma
18177,Clerodendrum ringoetii De Wild.,Rotheca myricoides subsp. myricoides,Rotheca myricoides subsp. myricoides,Rotheca myricoides subsp. myricoides,Rotheca myricoides,Rotheca luembensis subsp. luembensis,Rotheca luembensis,Rotheca,Rotheca
18721,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense,Clinostigma,Clinostigma
18722,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense,Clinostigma,Clinostigma
18723,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense,Clinostigma,Clinostigma
19111,Coelogyne cycnoches C.S.P.Parish & Rchb.f.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens,Coelogyne cycnoches C.S.P.Parish & Rchb.f.,Coelogyne cycnoches,Coelogyne,Coelogyne
19708,Coprosma acerosa var. brunnea Kirk,Coprosma acerosa A.Cunn.,Coprosma acerosa A.Cunn.,Coprosma acerosa A.Cunn.,Coprosma acerosa,Coprosma brunnea (Kirk) Cockayne,Coprosma brunnea,Coprosma,Coprosma
20555,Eucalyptus opaca D.J.Carr & S.G.M.Carr,Corymbia terminalis (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia terminalis (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia terminalis (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia terminalis,Corymbia opaca (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia opaca,Corymbia,Corymbia
20608,Eucalyptus variegata F.Muell.,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora,Corymbia variegata (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia variegata,Corymbia,Corymbia
20620,Eucalyptus capricornia D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia,Corymbia,Corymbia
20622,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia,Corymbia,Corymbia
