,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
272,Echinocactus horridus Gay,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce horrida (Gay) P.C.Guerrero & Helmut Walter,Eriosyce horrida,Eriosyce,Eriosyce
355,Santaloides G.Schellenb.,Rourea Aubl.,Rourea Aubl.,Rourea Aubl.,,Santaloides G.Schellenb.,,Rourea,Santaloides
433,Rubus suberectus var. subinermis (Rupr.) Nyman,Rubus polonicus Weston,Rubus polonicus Weston,Rubus polonicus Weston,Rubus polonicus,Rubus nessensis Hall,Rubus nessensis,Rubus,Rubus
443,Carthamodes Kuntze,Carthamus L.,Carthamus L.,Carthamus L.,,Carduncellus Adans.,,Carthamus,Carduncellus
670,Tamala Raf.,Persea Mill.,Persea Mill.,Persea Mill.,,Nectandra Rol. ex Rottb.,,Persea,Nectandra
797,Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,,Amomum,Curcuma
1313,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora,Cleome,Cleome
1398,Leptosyne DC.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,,Coreopsis,Leptosyne
1652,Galypola Nieuwl.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,,Polygala,Senega
1653,Sexilia Raf.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,,Polygala,Senega
1800,Senecio palmeri A.Gray,Lepidospartum squamatum (A.Gray) A.Gray,Lepidospartum squamatum (A.Gray) A.Gray,Lepidospartum squamatum (A.Gray) A.Gray,Lepidospartum squamatum,Senecio palmeri A.Gray,Senecio palmeri,Lepidospartum,Senecio
1899,Andreettaea Luer,Pleurothallis R.Br.,Pleurothallis R.Br.,Pleurothallis R.Br.,,Andreettaea Luer,,Pleurothallis,Andreettaea
1951,Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum,Dichanthelium,Dichanthelium
2020,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora,Rinorea,Rinorea
2034,Euchilus R.Br.,Pultenaea Sm.,Pultenaea Sm.,Pultenaea Sm.,,Euchilus R.Br.,,Pultenaea,Euchilus
2318,Elaeoselinum W.D.J.Koch ex DC.,Thapsia L.,Thapsia L.,Thapsia L.,,Elaeoselinum W.D.J.Koch ex DC.,,Thapsia,Elaeoselinum
2380,Bunium nivale Boiss.,Bunium alpinum subsp. corydalinum (DC.) Nyman,Bunium alpinum subsp. corydalinum (DC.) Nyman,Bunium alpinum subsp. corydalinum (DC.) Nyman,Bunium alpinum,Bunium macuca subsp. nivale (Boiss.) Mateo & López Udias,Bunium macuca,Bunium,Bunium
2707,Usteria Dennst.,Acalypha L.,Acalypha L.,Acalypha L.,,Symplocos Jacq.,,Acalypha,Symplocos
3074,Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana,Acalypha,Acalypha
3127,Acalypha dupraeana var. sylvicola Baill.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
3171,Acalypha reticulata var. meiodonta (Baill.) Leandri,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla,Acalypha,Acalypha
3172,Acalypha reticulata f. andronea Leandri,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla,Acalypha,Acalypha
3175,Acalypha meiodonta Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla,Acalypha,Acalypha
3222,Acalypha andringitrensis Leandri,Acalypha radula Baker,Acalypha radula Baker,Acalypha radula Baker,Acalypha radula,Acalypha andringitrensis Leandri,Acalypha andringitrensis,Acalypha,Acalypha
3349,Acalypha major Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
3351,Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
3506,Acorus nilghirensis Schott,Acorus calamus L.,Acorus calamus L.,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus,Acorus,Acorus
3509,Acorus griffithii Schott,Acorus calamus L.,Acorus calamus L.,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus,Acorus,Acorus
3510,Acorus calamus var. verus L.,Acorus calamus L.,Acorus calamus L.,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus,Acorus,Acorus
3514,Acorus commutatus Schott,Acorus calamus L.,Acorus calamus L.,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus,Acorus,Acorus
3820,Aerangis venusta Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata,Aerangis modesta (Hook.f.) Schltr.,Aerangis modesta,Aerangis,Aerangis
3837,Aerangis alata H.Perrier,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii,Aerangis cryptodon (Rchb.f.) Schltr.,Aerangis cryptodon,Aerangis,Aerangis
4423,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans,Ajuga,Ajuga
5221,Alyxia loeseneriana var. macrocarpa Boiteau,Alyxia loeseneriana Schltr.,Alyxia loeseneriana Schltr.,Alyxia loeseneriana Schltr.,Alyxia loeseneriana,Alyxia paniensis Lannuzel,Alyxia paniensis,Alyxia,Alyxia
5285,Alyxia sharpei P.I.Forst.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia,Alyxia sharpei P.I.Forst.,Alyxia sharpei,Alyxia,Alyxia
5627,Amsonia arenaria Standl.,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa,Amsonia arenaria Standl.,Amsonia arenaria,Amsonia,Amsonia
5683,Orchis fragrans f. grandiflora Rchb.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5689,Orchis coriophora var. cibiniensis Schur,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5690,Orchis polliniana Spreng.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5694,Orchis coriophora var. sennenii A.Camus,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5696,Orchis fragrans Pollini,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5697,Orchis coriophora var. symphypetala Brot.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5706,Orchis coriophora var. dolichoceras Maire,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5707,Orchis coriophora var. elongata Maire,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5709,Orchis coriophora var. lusciniarum Maire,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5710,Orchis coriophora var. major E.G.Camus,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5713,Orchis cassidea M.Bieb.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans,Anacamptis,Anacamptis
5746,Lankesteriana Karremans,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,,Lankesteriana Karremans,,Anathallis,Lankesteriana
6067,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum,Angraecum,Angraecum
6247,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum,Angraecum,Angraecum
6501,Anthurium macdougallii Matuda,Anthurium andicola Liebm.,Anthurium andicola Liebm.,Anthurium andicola Liebm.,Anthurium andicola,Anthurium macdougallii Matuda,Anthurium macdougallii,Anthurium,Anthurium
7470,Renistipula Borhidi,Arachnothryx Planch.,Arachnothryx Planch.,Arachnothryx Planch.,,Renistipula Borhidi,,Arachnothryx,Renistipula
8530,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica,Cynanchica,Cynanchica
8581,Conoria Juss.,Aspidosperma Mart. & Zucc.,Aspidosperma Mart. & Zucc.,Aspidosperma Mart. & Zucc.,,Rinorea Aubl.,,Aspidosperma,Rinorea
8596,Aspidosperma quirandy Hassl.,Aspidosperma australe Müll.Arg.,Aspidosperma australe Müll.Arg.,Aspidosperma australe Müll.Arg.,Aspidosperma australe,Aspidosperma quirandy Hassl.,Aspidosperma quirandy,Aspidosperma,Aspidosperma
8621,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum,Aspidosperma,Aspidosperma
8823,Attalea camposportoana Burret,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta,Attalea,Attalea
8833,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea,Attalea
8834,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea,Attalea
8839,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii,Attalea,Attalea
8871,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus,Attalea,Attalea
8877,Scheelea leandroana Barb.Rodr.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea,Attalea
9306,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora,Baissea,Baissea
9307,Baissea thollonii Hua,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora,Baissea,Baissea
9510,Elaeagia glomiflora Standl.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis,Bathysa,Bathysa
9512,Elaeagia mollis Rusby,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis,Bathysa,Bathysa
10490,Bletia jucunda Linden & Rchb.f.,Bletia reflexa Lindl.,Bletia reflexa Lindl.,Bletia reflexa Lindl.,Bletia reflexa,Bletia jucunda Linden & Rchb.f.,Bletia jucunda,Bletia,Bletia
11115,Bruxanelia Dennst.,Blachia Baill.,Blachia Baill.,Blachia Baill.,,Ehretia P.Browne,,Blachia,Ehretia
11689,Cirrhopetalum wallichii J.Graham,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum,Bulbophyllum fimbriatum (Lindl.) Rchb.f.,Bulbophyllum fimbriatum,Bulbophyllum,Bulbophyllum
12159,"Bulbophyllum paramjitii Agrawala, Sharief & B.K.Singh",Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii,Bulbophyllum,Bulbophyllum
