,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
272,Echinocactus horridus Gay,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce horrida (Gay) P.C.Guerrero & Helmut Walter,Eriosyce horrida
355,Santaloides G.Schellenb.,Rourea Aubl.,Rourea Aubl.,Rourea Aubl.,,Santaloides G.Schellenb.,
433,Rubus suberectus var. subinermis (Rupr.) Nyman,Rubus polonicus Weston,Rubus polonicus Weston,Rubus polonicus Weston,Rubus polonicus,Rubus nessensis Hall,Rubus nessensis
443,Carthamodes Kuntze,Carthamus L.,Carthamus L.,Carthamus L.,,Carduncellus Adans.,
670,Tamala Raf.,Persea Mill.,Persea Mill.,Persea Mill.,,Nectandra Rol. ex Rottb.,
797,Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,
829,Thymus comptus Griseb.,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens,Thymus glabrescens subsp. glabrescens,Thymus glabrescens
836,Cyperus falciculosus Liebm.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus,Cyperus squarrosus var. squarrosus,Cyperus squarrosus
1313,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora
1398,Leptosyne DC.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,
1529,Thymus serpyllum f. nyaradyanus Lyka,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens Willd.,Thymus glabrescens,Thymus glabrescens subsp. glabrescens,Thymus glabrescens
1577,Dimeria mikii Honda,Dimeria ornithopoda Trin.,Dimeria ornithopoda Trin.,Dimeria ornithopoda Trin.,Dimeria ornithopoda,Dimeria ornithopoda var. ornithopoda,Dimeria ornithopoda
