,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
count,17460,17460,17460,17460,17042,17460,17032
unique,17460,5309,5309,5308,4902,6479,5570
top,"Psorothamnus arborescens var. californicus (S.Watson) D.Sutherl., Gandhi & Vincent",Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
freq,1,316,316,316,316,316,316
