,v11_v16
number of new accepted species names,367479
number of old accepted species names,358191
new accepted species names which were previously published,350235
number of new species names,1046052
number of old species names,1026625
new species names not in old,35195
species names have disappearedbut this could be due to orthographic changes with authorship,15768
