,v10_v16
number of new accepted species names,367479
number of old accepted species names,356292
new accepted species names which were previously published,346455
number of new species names,1046052
number of old species names,1023695
new species names not in old,44236
species names have disappearedbut this could be due to orthographic changes with authorship,21879
