accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
17201,17218,17218,17218,17218,16814,16814,16814.0,16814,16814,17228.0,13586,17206,17228,17228,19,17228,363,16831,7919,7941,6004,17226,2064,17210,17196,17195,1401,3478,931,1163,17228,17226,17218.0,5240.0,480,0,4.0,17228,17,17228,16814,16814,16808,16814.0,17228
5259,5269,5269,224,7,2804,2804,,2804,2,,13586,15,6,225,1,3072,1,6978,13,4099,1367,4177,269,2951,11037,401,63,1112,51,8,17133,7930,,,280,0,,17228,17,2,4851,4851,4848,,17203
422090-1,Sorghum bicolor,Sorghum bicolor (L.) Moench,Poaceae,Species,Sorghum,Sorghum Moench,,331290-2,Genus,,27112-2,Species,Synonym,Poaceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Prodr., 32(1): 417,(1891),", nom. illeg.",Spain,perennial,temperate,Polygonum natans,DC.,,,L.,,,27112-2,Q. petraea × Q. virgiliana,N,Sorghum bicolor,Sorghum bicolor (L.) Moench,422090-1,,Erodium malacoides subvar. microphyllum Rouy
316,316,316,2070,13489,316,316,,316,13489,,1,8890,15902,2070,19,325,363,128,5217,46,161,209,212,335,40,271,562,1038,197,319,3,126,,,27,,,1,1,10492,316,316,316,,3
,,,,,,,1932695.0630427026,,,2008622.0722660786,,,,,,,,,,,,,,,,,,,,,,,1984284.098036938,1821581.2152671756,,,2832344.25,,,,,,,1935078.3437016772,
,,,,,,,1198985.1728128633,,,1229440.779935944,,,,,,,,,,,,,,,,,,,,,,,1231866.1356495877,1227268.2644694992,,,350171.17103913147,,,,,,,1193467.4007784934,
,,,,,,,126.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,126.0,263.0,,,2353768.0,,,,,,,130.0,
,,,,,,,443224.0,,,443288.5,,,,,,,,,,,,,,,,,,,,,,,422771.0,402030.75,,,2725528.0,,,,,,,419563.0,
,,,,,,,2527965.5,,,2619568.0,,,,,,,,,,,,,,,,,,,,,,,2571959.0,2503868.0,,,2892966.0,,,,,,,2544231.0,
,,,,,,,2845777.0,,,2995785.25,,,,,,,,,,,,,,,,,,,,,,,3008784.0,2889941.0,,,2999782.25,,,,,,,2861538.0,
,,,,,,,3275403.0,,,3287515.0,,,,,,,,,,,,,,,,,,,,,,,3286904.0,3284886.0,,,3189677.0,,,,,,,3286904.0,
