taxon_name_w_authors,v10_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
17203,17203,17203,17203,16799,17203,16797
17203,5269,5269,5249,4852,6413,5519
Austrocylindropuntia colubrina (A.Cast.) Backeb.,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
1,316,316,316,316,316,316
