taxon_name_w_authors,v10_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
57,57,57,57,53,57,54
57,46,46,46,42,46,43
Chlorophytum gramineum var. madagascariense (Baker) H.Perrier,Phragmipedium schlimii var. manzurii (W.E.Higgins & Viveros) P.J.Cribb,Phragmipedium schlimii var. manzurii (W.E.Higgins & Viveros) P.J.Cribb,Phragmipedium schlimii f. schlimii,Lotus herbaceus,Phragmipedium schlimii f. manzurii (W.E.Higgins & Viveros) Braem & Tesón,Phragmipedium schlimii
1,2,2,2,2,2,2
