,v10_v15
number of old accepted species names,356292
old accepted species names are no longer accepted,8426
Number which are now Synonym of which (homotypic)/(heterotypic),7784/4522/3263
Number which are now Unplaced of which (homotypic)/(heterotypic),309/0/309
Number which are now Illegitimate of which (homotypic)/(heterotypic),274/130/144
Number which are now Invalid of which (homotypic)/(heterotypic),53/2/51
Number which are now Orthographic of which (homotypic)/(heterotypic),5/0/5
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
