,Region,Number of Taxa
0,ABT,64
1,AFG,101
2,AGE,142
3,AGS,38
4,AGW,118
5,ALA,133
6,ALB,235
7,ALD,4
8,ALG,201
9,ALT,97
10,ALU,13
11,AMU,54
12,AND,55
13,ANG,57
14,ARI,98
15,ARK,86
16,ARU,7
17,ASC,6
18,ASK,68
19,ASP,2
20,ASS,173
21,ATP,7
22,AUT,249
23,AZO,36
24,BAH,40
25,BAL,101
26,BAN,110
27,BEN,29
28,BER,8
29,BGM,179
30,BIS,36
31,BKN,24
32,BLR,112
33,BLT,127
34,BLZ,89
35,BOL,291
36,BOR,114
37,BOT,28
38,BRC,94
39,BRY,68
40,BUL,242
41,BUR,38
42,BZC,188
43,BZE,191
44,BZL,268
45,BZN,186
46,BZS,193
47,CAB,8
48,CAF,44
49,CAL,132
50,CAY,18
51,CBD,82
52,CGS,3
53,CHA,31
54,CHC,282
55,CHH,86
56,CHI,105
57,CHM,101
58,CHN,141
59,CHQ,47
60,CHS,224
61,CHT,120
62,CHX,99
63,CKI,2
64,CLC,71
65,CLM,258
66,CLN,49
67,CLS,31
68,CMN,75
69,CNT,77
70,CNY,76
71,COL,94
72,COM,23
73,CON,32
74,COO,11
75,COR,168
76,COS,158
77,CPI,8
78,CPP,160
79,CPV,4
80,CRL,24
81,CRZ,1
82,CTA,54
83,CTM,12
84,CUB,121
85,CVI,18
86,CYP,82
87,CZE,230
88,DEL,66
89,DEN,117
90,DJI,13
91,DOM,75
92,EAI,102
93,EAS,2
94,ECU,213
95,EGY,67
96,EHM,187
97,ELS,59
98,EQG,25
99,ERI,35
100,ETH,67
101,FAL,6
102,FIJ,16
103,FIN,98
104,FLA,126
105,FOR,24
106,FRA,431
107,FRG,117
108,GAB,57
109,GAL,24
110,GAM,11
111,GEO,131
112,GER,293
113,GGI,33
114,GHA,45
115,GIL,2
116,GNB,16
117,GNL,30
118,GRB,173
119,GRC,244
120,GST,24
121,GUA,145
122,GUI,47
123,GUY,123
124,HAI,73
125,HAW,14
126,HON,124
127,HUN,187
128,ICE,35
129,IDA,72
130,ILL,84
131,IND,221
132,INI,84
133,IOW,69
134,IRE,125
135,IRK,63
136,IRN,170
137,IRQ,100
138,ITA,347
139,IVO,46
140,JAM,74
141,JAP,180
142,JAW,118
143,JNF,7
144,KAM,60
145,KAN,61
146,KAZ,144
147,KEG,2
148,KEN,77
149,KER,5
150,KGZ,88
151,KHA,68
152,KOR,125
153,KRA,90
154,KRI,104
155,KRY,146
156,KTY,79
157,KUR,56
158,KUW,11
159,KZN,9
160,LAB,39
161,LAO,101
162,LBR,37
163,LBS,144
164,LBY,94
165,LDV,10
166,LEE,61
167,LES,22
168,LIN,1
169,LOU,97
170,LSI,67
171,MAG,48
172,MAI,74
173,MAN,64
174,MAQ,1
175,MAS,87
176,MAU,31
177,MCI,2
178,MCS,1
179,MDG,88
180,MDR,47
181,MDV,8
182,MIC,92
183,MIN,81
184,MLI,23
185,MLW,51
186,MLY,132
187,MNT,75
188,MOL,65
189,MON,82
190,MOR,220
191,MOZ,54
192,MPE,1
193,MRN,9
194,MRQ,13
195,MRS,2
196,MRY,91
197,MSI,99
198,MSO,83
199,MTN,22
200,MXC,108
201,MXE,169
202,MXG,142
203,MXI,3
204,MXN,115
205,MXS,174
206,MXT,156
207,MYA,215
208,NAM,40
209,NAT,64
210,NBR,48
211,NCA,121
212,NCB,35
213,NCS,180
214,NDA,57
215,NEB,59
216,NEP,163
217,NET,155
218,NEV,84
219,NFK,13
220,NFL,45
221,NGA,55
222,NGR,15
223,NIC,107
