,Region,Number of Taxa
0,ABT,153
1,AFG,246
2,AGE,298
3,AGS,89
4,AGW,254
5,ALA,272
6,ALB,525
7,ALD,14
8,ALG,410
9,ALT,258
10,ALU,37
11,AMU,157
12,AND,145
13,ANG,148
14,ARI,224
15,ARK,201
16,ARU,28
17,ASC,8
18,ASK,140
19,ASP,3
20,ASS,441
21,ATP,16
22,AUT,548
23,AZO,88
24,BAH,98
25,BAL,223
26,BAN,287
27,BEN,88
28,BER,26
29,BGM,386
30,BIS,85
31,BKN,69
32,BLR,283
33,BLT,310
34,BLZ,216
35,BOL,592
36,BOR,277
37,BOT,78
38,BRC,194
39,BRY,202
40,BUL,540
41,BUR,104
42,BZC,394
43,BZE,427
44,BZL,540
45,BZN,409
46,BZS,411
47,CAB,21
48,CAF,122
49,CAL,276
50,CAY,55
51,CBD,235
52,CGS,7
53,CHA,91
54,CHC,655
55,CHH,226
56,CHI,241
57,CHM,238
58,CHN,340
59,CHQ,108
60,CHS,520
61,CHT,307
62,CHX,225
63,CKI,7
64,CLC,147
65,CLM,585
66,CLN,106
67,CLS,67
68,CMN,188
69,CNT,191
70,CNY,150
71,COL,206
72,COM,75
73,CON,103
74,COO,26
75,COR,365
76,COS,369
77,CPI,20
78,CPP,318
79,CPV,14
80,CRL,66
81,CRZ,2
82,CTA,171
83,CTM,24
84,CUB,268
85,CVI,57
86,CYP,182
87,CZE,518
88,DEL,164
89,DEN,272
90,DJI,38
91,DOM,197
92,EAI,235
93,EAS,2
94,ECU,468
95,EGY,145
96,EHM,483
97,ELS,189
98,EQG,57
99,ERI,98
100,ETH,184
101,FAL,12
102,FIJ,65
103,FIN,253
104,FLA,263
105,FOR,81
106,FRA,871
107,FRG,271
108,GAB,136
109,GAL,50
110,GAM,43
111,GEO,272
112,GER,599
113,GGI,96
114,GHA,121
115,GIL,10
116,GNB,62
117,GNL,71
118,GRB,361
119,GRC,550
120,GST,65
121,GUA,347
122,GUI,123
123,GUY,290
124,HAI,193
125,HAW,35
126,HBI,1
127,HON,320
128,HUN,425
129,ICE,102
130,IDA,170
131,ILL,214
132,IND,487
133,INI,204
134,IOW,163
135,IRE,265
136,IRK,194
137,IRN,417
138,IRQ,248
139,ITA,760
140,IVO,122
141,JAM,182
142,JAP,389
143,JAW,304
144,JNF,15
145,KAM,148
146,KAN,157
147,KAZ,345
148,KEG,4
149,KEN,192
150,KER,9
151,KGZ,209
152,KHA,186
153,KOR,290
154,KRA,238
155,KRI,240
156,KRY,336
157,KTY,194
158,KUR,134
159,KUW,32
160,KZN,27
161,LAB,85
162,LAO,290
163,LBR,98
164,LBS,333
165,LBY,202
166,LDV,30
167,LEE,154
168,LES,57
169,LIN,3
170,LOU,207
171,LSI,195
172,MAG,128
173,MAI,184
174,MAN,148
175,MAQ,2
176,MAS,203
177,MAU,85
178,MCI,9
179,MCS,1
180,MDG,199
181,MDR,104
182,MDV,25
183,MIC,215
184,MIN,186
185,MLI,69
186,MLW,141
187,MLY,334
188,MNT,186
189,MOL,163
190,MON,229
191,MOR,445
192,MOZ,161
193,MPE,2
194,MRN,35
195,MRQ,25
196,MRS,10
197,MRY,214
198,MSI,212
199,MSO,199
200,MTN,64
201,MXC,301
202,MXE,425
203,MXG,371
204,MXI,13
205,MXN,295
206,MXS,434
207,MXT,378
208,MYA,571
209,NAM,101
210,NAT,153
211,NBR,138
212,NCA,269
213,NCB,93
214,NCS,414
215,NDA,129
216,NEB,150
217,NEP,421
218,NET,336
219,NEV,187
220,NFK,27
221,NFL,110
222,NGA,151
223,NGR,47
224,NIC,278
225,NLA,39
226,NNS,177
227,NOR,284
228,NRU,6
229,NSC,130
230,NSW,195
231,NTA,127
232,NUE,22
233,NUN,67
234,NWC,76
235,NWG,267
236,NWH,180
237,NWJ,209
238,NWM,228
239,NWT,115
240,NWY,266
241,NZN,60
242,NZS,63
243,OFS,80
244,OGA,41
245,OHI,205
246,OKL,193
247,OMA,100
248,ONT,235
249,ORE,205
250,PAK,314
251,PAL,239
252,PAN,326
253,PAR,307
254,PEI,91
255,PEN,238
256,PER,577
257,PHI,339
258,PHX,1
259,PIT,9
260,POL,445
261,POR,433
262,PRM,200
263,PUE,157
264,QLD,262
265,QUE,207
266,REU,96
267,RHO,154
268,ROD,18
269,ROM,513
270,RUC,339
271,RUE,339
272,RUN,260
273,RUS,300
274,RUW,265
275,RWA,112
276,SAK,144
277,SAM,61
278,SAR,334
279,SAS,138
280,SAU,151
281,SCA,257
282,SCI,42
283,SCS,31
284,SCZ,19
285,SDA,155
286,SEL,14
287,SEN,85
288,SEY,35
289,SGE,3
290,SIC,388
291,SIE,92
292,SIN,107
293,SOA,81
294,SOC,42
295,SOL,104
296,SOM,89
297,SPA,828
298,SRL,268
299,SSA,1
300,STH,9
301,SUD,165
302,SUL,210
303,SUM,271
304,SUR,254
305,SVA,23
306,SWC,23
307,SWE,339
308,SWI,528
309,SWZ,97
310,TAI,370
311,TAN,222
312,TAS,77
313,TCI,36
314,TCS,454
315,TDC,14
316,TEN,213
317,TEX,317
318,THA,465
319,TKM,190
320,TOG,76
321,TOK,10
322,TON,38
323,TRT,169
324,TUA,13
325,TUB,28
326,TUE,332
327,TUN,296
328,TUR,604
329,TUV,3
330,TVA,162
331,TVL,161
332,TZK,218
333,UGA,176
334,UKR,474
335,URU,173
336,UTA,211
337,UZB,207
338,VAN,82
339,VEN,506
340,VER,195
341,VIC,105
342,VIE,489
343,VNA,64
344,VRG,245
345,WAK,1
346,WAL,30
347,WAS,189
348,WAU,177
349,WDC,115
350,WHM,429
351,WIN,138
352,WIS,204
353,WSA,31
354,WSB,281
355,WVA,182
356,WYO,173
357,XMS,17
358,YAK,199
359,YEM,124
360,YUG,677
361,YUK,115
362,ZAI,213
363,ZAM,150
364,ZIM,164
