,Region,Number of Taxa
282,SDA,103
283,SEL,9
284,SEN,58
285,SEY,26
286,SGE,1
287,SIC,254
288,SIE,59
289,SIN,67
290,SOA,44
291,SOC,27
292,SOL,74
293,SOM,63
294,SPA,502
295,SRL,171
296,SSA,1
297,STH,6
298,SUD,109
299,SUL,148
300,SUM,186
301,SUR,159
302,SVA,18
303,SWC,19
304,SWE,243
305,SWI,367
306,SWZ,68
307,TAI,219
308,TAN,143
309,TAS,48
310,TCI,26
311,TCS,316
312,TDC,8
313,TEN,132
314,TEX,186
315,THA,305
316,TKM,127
317,TOG,49
318,TOK,7
319,TON,31
320,TRT,115
321,TUA,8
322,TUB,17
323,TUE,233
324,TUN,183
325,TUR,393
326,TUV,2
327,TVA,128
328,TVL,98
329,TZK,146
330,UGA,116
331,UKR,329
332,URU,107
333,UTA,128
334,UZB,138
335,VAN,64
336,VEN,321
337,VER,124
338,VIC,60
339,VIE,326
340,VNA,47
341,VRG,149
342,WAL,24
343,WAS,111
344,WAU,87
345,WDC,77
346,WHM,271
347,WIN,98
348,WIS,124
349,WSA,21
350,WSB,195
351,WVA,117
352,WYO,113
353,XMS,13
354,YAK,145
355,YEM,91
356,YUG,450
357,YUK,73
358,ZAI,132
359,ZAM,91
360,ZIM,102
