,Region,Number of Taxa
0,ABT,100
1,AFG,166
2,AGE,168
3,AGS,54
4,AGW,148
5,ALA,151
6,ALB,362
7,ALD,11
8,ALG,252
9,ALT,184
10,ALU,25
11,AMU,112
12,AND,97
13,ANG,95
14,ARI,134
15,ARK,124
16,ARU,23
17,ASC,4
18,ASK,82
19,ASP,2
20,ASS,289
21,ATP,11
22,AUT,366
23,AZO,60
24,BAH,61
25,BAL,144
26,BAN,191
27,BEN,60
28,BER,19
29,BGM,269
30,BIS,57
31,BKN,48
32,BLR,214
33,BLT,223
34,BLZ,139
35,BOL,335
36,BOR,180
37,BOT,52
38,BRC,111
39,BRY,148
40,BUL,368
41,BUR,68
42,BZC,224
43,BZE,254
44,BZL,294
45,BZN,241
46,BZS,234
47,CAB,13
48,CAF,80
49,CAL,152
50,CAY,39
51,CBD,164
52,CGS,4
53,CHA,63
54,CHC,405
55,CHH,154
56,CHI,149
57,CHM,153
58,CHN,218
59,CHQ,72
60,CHS,316
61,CHT,204
62,CHX,143
63,CKI,5
64,CLC,83
65,CLM,353
66,CLN,63
67,CLS,37
68,CMN,117
69,CNT,126
70,CNY,93
71,COL,122
72,COM,54
73,CON,72
74,COO,17
75,COR,243
76,COS,228
77,CPI,13
78,CPP,170
79,CPV,10
80,CRL,50
81,CRZ,1
82,CTA,130
83,CTM,15
84,CUB,160
85,CVI,42
86,CYP,117
87,CZE,354
88,DEL,111
89,DEN,195
90,DJI,28
91,DOM,132
92,EAI,156
93,ECU,276
94,EGY,89
95,EHM,320
96,ELS,140
97,EQG,32
98,ERI,69
99,ETH,128
100,FAL,6
101,FIJ,56
102,FIN,190
103,FLA,150
104,FOR,64
105,FRA,546
106,FRG,166
107,GAB,80
108,GAL,30
109,GAM,33
110,GEO,150
111,GER,383
112,GGI,66
113,GHA,78
114,GIL,8
115,GNB,47
116,GNL,49
117,GRB,244
118,GRC,365
119,GST,47
120,GUA,219
121,GUI,79
122,GUY,181
123,HAI,131
124,HAW,21
125,HBI,1
126,HON,213
127,HUN,298
128,ICE,78
129,IDA,105
130,ILL,141
131,IND,286
132,INI,130
133,IOW,105
134,IRE,187
135,IRK,146
136,IRN,284
137,IRQ,166
138,ITA,502
139,IVO,79
140,JAM,119
141,JAP,228
142,JAW,203
143,JNF,9
144,KAM,95
145,KAN,105
146,KAZ,231
147,KEG,2
148,KEN,122
149,KER,5
150,KGZ,141
151,KHA,127
152,KOR,179
153,KRA,168
154,KRI,160
155,KRY,230
156,KTY,124
157,KUR,87
158,KUW,24
159,KZN,22
160,LAB,52
161,LAO,204
162,LBR,63
163,LBS,224
164,LBY,125
165,LDV,21
166,LEE,102
167,LES,37
168,LIN,2
169,LOU,118
170,LSI,146
171,MAG,88
172,MAI,122
173,MAN,94
174,MAQ,1
175,MAS,129
176,MAU,56
177,MCI,7
178,MDG,116
179,MDR,67
180,MDV,17
181,MIC,136
182,MIN,118
183,MLI,48
184,MLW,93
185,MLY,222
186,MNT,120
187,MOL,112
188,MON,164
189,MOR,274
190,MOZ,111
191,MPE,1
192,MRN,28
193,MRQ,16
194,MRS,8
195,MRY,136
196,MSI,121
197,MSO,127
198,MTN,45
199,MXC,202
200,MXE,272
201,MXG,250
202,MXI,10
203,MXN,186
204,MXS,278
205,MXT,243
206,MYA,382
207,NAM,66
208,NAT,95
209,NBR,101
210,NCA,158
211,NCB,66
212,NCS,285
213,NDA,85
214,NEB,99
215,NEP,280
216,NET,236
217,NEV,111
218,NFK,18
219,NFL,75
220,NGA,98
221,NGR,33
222,NIC,186
223,NLA,30
224,NNS,108
225,NOR,204
226,NRU,5
227,NSC,94
228,NSW,119
229,NTA,66
230,NUE,17
231,NUN,41
232,NWC,54
233,NWG,171
234,NWH,117
235,NWJ,134
236,NWM,141
237,NWT,70
238,NWY,162
239,NZN,31
240,NZS,35
241,OFS,57
242,OGA,32
243,OHI,127
244,OKL,128
245,OMA,64
246,ONT,146
247,ORE,123
248,PAK,207
249,PAL,153
250,PAN,206
251,PAR,169
252,PEI,68
253,PEN,148
254,PER,324
255,PHI,211
256,PIT,5
257,POL,306
258,POR,281
259,PRM,131
260,PUE,108
261,QLD,154
262,QUE,136
263,REU,65
264,RHO,104
265,ROD,15
266,ROM,354
267,RUC,245
268,RUE,245
269,RUN,188
270,RUS,211
271,RUW,202
272,RWA,67
273,SAK,96
274,SAM,45
275,SAR,220
276,SAS,89
277,SAU,108
278,SCA,145
279,SCI,32
280,SCS,21
281,SCZ,14
